,holding_count,top1_weight,top5_weight,herfindahl
2023-02-01,0,0.0,0.0,0.0
2023-03-01,8,0.125,0.625,0.125
2023-04-03,8,0.125,0.625,0.125
2023-05-04,8,0.125,0.625,0.125
2023-06-01,8,0.125,0.625,0.125
2023-06-30,8,0.125,0.625,0.125
