date,momentum_60,reversal_20,volatility_20,liquidity_20
2023-01-03,,,,
2023-01-04,,,,
2023-01-05,,,,
2023-01-06,,,,
2023-01-09,,,,
2023-01-10,,,,
2023-01-11,,,,
2023-01-12,,,,
2023-01-13,,,,
2023-01-16,,,,
2023-01-17,,,,
2023-01-18,,,,
2023-01-19,,,,
2023-01-20,,,,
2023-01-30,,,,
2023-01-31,,,,
2023-02-01,,,,
2023-02-02,,,,
2023-02-03,,,,
2023-02-06,,,,0.6666666666666669
2023-02-07,,-0.09523809523809526,0.4285714285714286,0.0
2023-02-08,,-0.5714285714285715,-0.2380952380952381,-0.7142857142857144
2023-02-09,,-0.261904761904762,-0.023809523809523815,-0.5476190476190477
2023-02-10,,-0.023809523809523815,-0.19047619047619052,-0.4047619047619048
2023-02-13,,-0.19047619047619052,0.30952380952380953,-0.1666666666666667
2023-02-14,,-0.7857142857142858,0.09523809523809526,-0.5714285714285715
2023-02-15,,0.4761904761904762,-0.5000000000000001,0.6428571428571429
2023-02-16,,0.07142857142857144,0.4047619047619048,-0.3333333333333334
2023-02-17,,-0.3333333333333334,0.523809523809524,-0.023809523809523815
2023-02-20,,-0.2380952380952381,0.4047619047619048,-0.09523809523809526
2023-02-21,,-0.6904761904761906,0.4761904761904762,-0.30952380952380953
2023-02-22,,0.6190476190476191,-0.6190476190476191,0.0
2023-02-23,,0.07142857142857144,0.07142857142857144,0.19047619047619052
2023-02-24,,-0.5714285714285715,0.5714285714285715,-0.14285714285714288
2023-02-27,,-0.04761904761904763,0.023809523809523815,0.28571428571428575
2023-02-28,,0.023809523809523815,0.3571428571428572,0.5952380952380953
2023-03-01,,-0.261904761904762,0.19047619047619052,-0.2380952380952381
2023-03-02,,0.38095238095238104,-0.6904761904761906,-0.30952380952380953
2023-03-03,,-0.2380952380952381,0.14285714285714288,-0.2142857142857143
2023-03-06,,0.04761904761904763,-0.261904761904762,-0.6190476190476191
2023-03-07,,-0.6904761904761906,0.5000000000000001,-0.11904761904761905
2023-03-08,,-0.11904761904761905,-0.023809523809523815,0.3333333333333334
2023-03-09,,-0.19047619047619052,0.3571428571428572,0.3571428571428572
2023-03-10,,-0.6190476190476191,0.3333333333333334,0.14285714285714288
2023-03-13,,0.023809523809523815,-0.07142857142857144,0.28571428571428575
2023-03-14,,0.4523809523809524,-0.1666666666666667,-0.523809523809524
2023-03-15,,-0.04761904761904763,-0.4761904761904762,0.1666666666666667
2023-03-16,,-0.8333333333333335,0.1666666666666667,-0.04761904761904763
2023-03-17,,-0.023809523809523815,-0.4523809523809524,-0.4761904761904762
2023-03-20,,0.04761904761904763,0.11904761904761905,0.023809523809523815
2023-03-21,,-0.14285714285714288,-0.2380952380952381,0.3333333333333334
