,excess_return
2021-01-04,0.0
2021-01-05,-0.019131616714631816
2021-01-06,-0.009158982956132933
2021-01-07,-0.017717948859934163
2021-01-08,0.003306333723878452
2021-01-11,0.009875478352012523
2021-01-12,-0.02852149174073193
2021-01-13,0.003284283506213903
2021-01-14,0.019274036970439057
2021-01-15,0.0022630638008503956
2021-01-18,-0.011073491044469863
2021-01-19,0.014677848408631289
2021-01-20,-0.007155835748650086
2021-01-21,-0.016167466762105898
2021-01-22,-0.0008643352974049279
2021-01-25,-0.010079392722872393
2021-01-26,0.020076716341504985
2021-01-27,-0.0027262981659612606
2021-01-28,0.02729015918958022
2021-01-29,0.0046827867602480255
2021-02-01,-0.013074008026965678
2021-02-02,-0.013197017380239151
2021-02-03,-0.009670026915838403
2021-02-04,-0.012286997600001515
2021-02-05,-0.004366438474510348
2021-02-08,-0.011488760976652745
2021-02-09,-0.00856902897880496
2021-02-10,-0.01257199730328673
2021-02-18,0.027913237088707188
2021-02-19,0.01456635976838272
2021-02-22,0.04088332430005359
2021-02-23,-0.0026674098887464748
2021-02-24,0.013934532925619192
2021-02-25,0.0014454661435245875
2021-02-26,0.01152863199865617
2021-03-01,-0.006241742349017976
2021-03-02,0.006819930931487472
2021-03-03,-0.0091189022814675
2021-03-04,0.02365083991163608
2021-03-05,0.011103448412137285
2021-03-08,0.029391325519308453
2021-03-09,0.008151035586033917
2021-03-10,-0.01514208783924409
2021-03-11,-0.009962662619453333
2021-03-12,0.008984444863770147
2021-03-15,0.01575346713684589
2021-03-16,-0.003434480017550534
2021-03-17,-0.009087985568101975
2021-03-18,-0.008716011431945336
2021-03-19,0.020282247235997697
2021-03-22,0.011914437987341486
2021-03-23,0.0022011063926274943
2021-03-24,0.011188651379401282
2021-03-25,-0.004342483591251001
2021-03-26,-0.01301315697551364
2021-03-29,0.004239984891357462
2021-03-30,-0.007160632040394965
2021-03-31,0.013689775730249987
2021-04-01,-0.018368526355417414
2021-04-02,-0.0016150828575716147
2021-04-06,0.005305219441342657
2021-04-07,0.011272603232565293
2021-04-08,-0.005155666488105504
2021-04-09,0.010109616343640715
2021-04-12,0.009451934042359889
2021-04-13,-0.010774159015704443
2021-04-14,-0.0034986218800006075
2021-04-15,0.002239384196175087
2021-04-16,0.0072083237324434
2021-04-19,-0.008803727378798865
2021-04-20,-0.008472714962315275
2021-04-21,-0.007437508719866814
2021-04-22,0.0014810472061776991
2021-04-23,-0.01105839936244235
2021-04-26,0.005636381738169938
2021-04-27,-0.009236427340959752
2021-04-28,-0.0040313412623016465
2021-04-29,0.002065822141075202
2021-04-30,-0.006356277028953472
2021-05-06,0.008808576840199978
2021-05-07,0.0164148438173769
2021-05-10,0.0020179881861518423
2021-05-11,-0.0011607187050328704
2021-05-12,-0.002399203977659914
2021-05-13,0.008065332892676413
2021-05-14,-0.009327438855068815
2021-05-17,-0.01465745529898832
2021-05-18,0.0015366727428081095
2021-05-19,-0.003940455961262024
2021-05-20,-0.003860872142682159
2021-05-21,0.0053414831226876736
2021-05-24,0.0011743263070618237
2021-05-25,-0.01939860684121153
2021-05-26,0.0005816742141011577
2021-05-27,2.5851056596915e-05
2021-05-28,2.646527861205339e-05
2021-05-31,-0.003423049714439186
2021-06-01,-0.0015770628054039282
2021-06-02,0.0072303934493788136
2021-06-03,0.007180779289252981
2021-06-04,-0.010075721028835027
2021-06-07,0.0023729615567477103
2021-06-08,0.009630215440124656
2021-06-09,-0.002878939998460006
2021-06-10,-0.006594579908211218
2021-06-11,0.006838880261167857
2021-06-15,0.003054057060760229
2021-06-16,0.014977296739998258
2021-06-17,-0.0044673567601482
2021-06-18,-0.004107621975637965
2021-06-21,0.003179280952433028
2021-06-22,-0.0016862781994044784
2021-06-23,2.6429703442465424e-05
2021-06-24,0.005174770920306493
2021-06-25,-0.014471971920698712
2021-06-28,0.0027061477463441452
