,excess_return
2021-01-04,0.0
2021-01-05,-0.013530004671403952
2021-01-06,-0.004062596091704556
2021-01-07,-0.009493336882149478
2021-01-08,-0.0020109045019102373
2021-01-11,0.009629770200634708
2021-01-12,-0.02084553831942439
2021-01-13,-0.00178373040748905
2021-01-14,0.01012870117548716
2021-01-15,0.0028731845954177975
2021-01-18,-0.01210795445830211
2021-01-19,0.010979928981937857
2021-01-20,-0.008624646511646912
2021-01-21,-0.013002930240704114
2021-01-22,0.0032915311198591503
2021-01-25,-0.0032637948763862535
2021-01-26,0.014154979867341785
2021-01-27,-0.003301451708541916
2021-01-28,0.023987337379597053
2021-01-29,0.005744496491463607
2021-02-01,-0.009937039463587384
2021-02-02,-0.01042226536611257
2021-02-03,-0.0006711395254820115
2021-02-04,-0.00012404762196452715
2021-02-05,0.008392427464904414
2021-02-08,-0.016329805293999654
2021-02-09,-0.016236457238130907
2021-02-10,-0.0014781370163537578
2021-02-18,0.011092806462095199
2021-02-19,0.0148673572269182
2021-02-22,0.024396293215719372
2021-02-23,-0.0019393218760456717
2021-02-24,0.010316348450678175
2021-02-25,0.0038226050498489732
2021-02-26,0.006727030454902985
2021-03-01,-0.014325143885923743
2021-03-02,0.003295892652821871
2021-03-03,-0.004018131382855599
2021-03-04,0.02396472774075161
2021-03-05,0.00789598263405671
2021-03-08,0.026832685116751465
2021-03-09,0.008603179061961584
2021-03-10,-0.014103361707639716
2021-03-11,-0.010208412592617826
2021-03-12,0.008460380091844232
2021-03-15,0.014422944830127474
2021-03-16,0.000649386495894801
2021-03-17,-0.014261170947880222
2021-03-18,-0.007755226664741974
2021-03-19,0.015841397812656928
2021-03-22,0.008531193731398108
2021-03-23,0.0030167275042314295
2021-03-24,0.013521030239318912
2021-03-25,-0.008094258557126883
2021-03-26,-0.010982095173298713
2021-03-29,0.0057075368880691035
2021-03-30,-0.0051185117389811775
2021-03-31,0.012890419740402993
2021-04-01,-0.0193321826961364
2021-04-02,-0.0020086616794908647
2021-04-06,0.0015206950095534885
2021-04-07,0.0027018380897805457
2021-04-08,-0.004855016015117292
2021-04-09,0.004899322075110183
2021-04-12,0.01030863953882066
2021-04-13,-0.010531248413979528
2021-04-14,-0.00429449582416345
2021-04-15,-0.005512291221710883
2021-04-16,0.0064539959172888245
2021-04-19,-0.007835283500361053
2021-04-20,-0.006190093471127596
2021-04-21,-0.0023293686966861173
2021-04-22,-0.002642726731963363
2021-04-23,-0.005277841613189346
2021-04-26,-0.0013220083156922219
2021-04-27,-0.002599988926934178
2021-04-28,-0.00615631372370121
2021-04-29,0.0009416069257616516
2021-04-30,-0.00504801690562458
2021-05-06,0.00028249710669745907
2021-05-07,0.014275223815188554
2021-05-10,-0.0024966522054975147
2021-05-11,0.002634893217039894
2021-05-12,-0.0037241155133552386
2021-05-13,0.007703733406924948
2021-05-14,-0.008349694294306306
2021-05-17,-0.01270771830168388
2021-05-18,-0.0030580262181048204
2021-05-19,-0.005099455852804977
2021-05-20,0.0007007392256876943
2021-05-21,0.002299202009449915
2021-05-24,-0.0009717430408650975
2021-05-25,-0.011064032367020998
2021-05-26,0.00018445910690864642
2021-05-27,-0.004711465475030453
2021-05-28,-0.001590734400000632
2021-05-31,-0.01115247214226364
2021-06-01,-0.002357201600854527
2021-06-02,0.008690104550567207
2021-06-03,0.003885416283018567
2021-06-04,-0.007305576236010364
2021-06-07,-0.005022422930891497
2021-06-08,0.006110722649080594
2021-06-09,-0.004104091210585217
2021-06-10,-0.006840131595888637
2021-06-11,0.00591070460694915
2021-06-15,-0.000756102134077145
2021-06-16,0.012643439173880902
2021-06-17,-0.012337179994604631
2021-06-18,-0.009897553824857346
2021-06-21,0.001853642601837408
2021-06-22,-0.0005301620895816241
2021-06-23,-0.004345111715171964
2021-06-24,0.0040838454021074125
2021-06-25,-0.011445832456859732
2021-06-28,-0.0009791498473699822
2021-06-29,0.000523461789645914
2021-06-30,-0.00575526621100026
2021-07-01,0.006507338802578559
2021-07-02,0.010196999096296948
