,turnover
2021-02-01,0.5
2021-03-01,0.5
2021-04-01,0.7000000000000001
2021-05-06,0.6000000000000001
2021-06-01,0.35
2021-07-01,0.3
2021-08-02,0.35
2021-09-01,0.4
2021-10-08,0.39999999999999997
2021-11-01,0.30000000000000004
2021-12-01,0.4
2022-01-04,0.25
2022-02-07,0.55
2022-03-01,0.6000000000000001
2022-04-01,0.6000000000000001
2022-05-05,0.6000000000000001
2022-06-01,0.5
2022-07-01,0.45
2022-08-01,0.45
2022-09-01,0.45
2022-10-10,0.6000000000000001
2022-11-01,0.6500000000000001
2022-12-01,0.65
2023-01-03,0.7
2023-02-01,0.7
2023-03-01,0.35
2023-04-03,0.6500000000000001
2023-05-04,0.55
2023-06-01,0.7
2023-07-03,0.8
2023-08-01,0.6500000000000001
2023-09-01,0.75
2023-10-09,0.8500000000000001
2023-11-01,0.7
2023-12-01,0.5
2024-01-02,0.7
2024-02-01,0.9000000000000001
2024-03-01,0.9
2024-04-01,0.65
2024-05-06,0.7
2024-06-03,0.8
2024-07-01,0.5
2024-08-01,0.8500000000000001
2024-09-02,0.75
2024-10-08,0.75
2024-11-01,0.5
2024-12-02,0.6000000000000001
2024-12-31,0.85
