fold_index,train_start,train_end_exclusive,test_start,test_end_exclusive,train_selection_score,total_return,annual_return,annual_volatility,sharpe,max_drawdown,win_rate,avg_turnover,benchmark_total_return,benchmark_annual_return,excess_annual_return,tracking_error,information_ratio,beta,alpha,cfg_top_n,cfg_weighting
0,2021-01-01,2023-01-01,2023-01-01,2023-07-01,0.16134003012007805,0.013606561168650444,0.02928271317202924,0.23683638739513696,0.12364110723904122,-0.11979303335034441,0.4067796610169492,0.3888888888888889,-0.011690115486509223,-0.02479970907391016,0.0540824222459394,0.19971753790521082,0.27079455721914514,0.9641394886669545,0.07235399587124142,20,score
1,2021-07-01,2023-07-01,2023-07-01,2024-01-01,0.30648637569639586,-0.18037490225474884,-0.3325113396956678,0.1611057522950006,-2.0639321374869755,-0.223292393848617,0.3548387096774194,0.08333333333333333,-0.11861912003452446,-0.2263254077714001,-0.10618593192426773,0.10844484103506483,-0.9791699716718963,0.9017205452692979,-0.16774749926893512,20,equal
2,2022-01-01,2024-01-01,2024-01-01,2024-07-01,0.4913494349231667,0.11557411011044127,0.26562284016046567,0.21362076787146175,1.2434317262649959,-0.09009414127703386,0.38461538461538464,0.3688888888888889,0.0222392841850374,0.04851526836525122,0.21710757179521445,0.18537709044937126,1.1711672206577715,0.7861601466151376,0.21317251367492066,20,score
3,2022-07-01,2024-07-01,2024-07-01,2025-01-01,1.661309156858214,0.10860067617386227,0.23102445499508883,0.2746801267123341,0.8410672361347612,-0.11013291133233438,0.384,0.32,0.13131292802557715,0.2823979764871414,-0.05137352149205254,0.15133997071415223,-0.3394577205851703,0.8889794140143291,-0.005534955854673736,20,score
