,oos_daily_return
2023-01-03,1.0
2023-01-04,1.0
2023-01-05,1.0
2023-01-06,1.0
2023-01-09,1.0
2023-01-10,1.0
2023-01-11,1.0
2023-01-12,1.0
2023-01-13,1.0
2023-01-16,1.0
2023-01-17,1.0
2023-01-18,1.0
2023-01-19,1.0
2023-01-20,1.0
2023-01-30,1.0
2023-01-31,1.0
2023-02-01,0.9992
2023-02-02,0.9945940047311149
2023-02-03,0.9948346348662805
2023-02-06,0.9857316514686807
2023-02-07,0.9933010959380634
2023-02-08,0.9801372312531175
2023-02-09,1.010740815032825
2023-02-10,1.018832142696072
2023-02-13,1.0155125129264262
2023-02-14,1.0203627457061426
2023-02-15,1.0682538399357426
2023-02-16,1.0766301328770183
2023-02-17,1.0275310481496283
2023-02-20,1.075800626152023
2023-02-21,1.0893083359472555
2023-02-22,1.1034066794355066
2023-02-23,1.0852172336909447
2023-02-24,1.084183227606379
2023-02-27,1.1015763547421293
2023-02-28,1.1209729675729374
2023-03-01,1.1355568669031175
2023-03-02,1.118164775115307
2023-03-03,1.120624597059307
2023-03-06,1.1001703841958204
2023-03-07,1.0853656419321576
2023-03-08,1.086769694405847
2023-03-09,1.0836228692533265
2023-03-10,1.0652609663246975
2023-03-13,1.06561487362248
2023-03-14,1.0539735045325993
2023-03-15,1.0635123428954258
2023-03-16,1.0497337689230835
2023-03-17,1.0592601665849137
2023-03-20,1.054729067775384
2023-03-21,1.0625038018453234
2023-03-22,1.1001518182995718
2023-03-23,1.1055553928864117
2023-03-24,1.1037225755905122
2023-03-27,1.0770211270554726
2023-03-28,1.0617215678428196
2023-03-29,1.0672921776809523
2023-03-30,1.0800607010958712
2023-03-31,1.063567788859514
2023-04-03,1.0770900287874534
2023-04-04,1.0730005809909429
2023-04-06,1.0808463874489356
2023-04-07,1.1367584467325589
2023-04-10,1.1214564650087127
2023-04-11,1.1195152151396315
2023-04-12,1.1381653012874664
2023-04-13,1.1116176122552783
2023-04-14,1.1125373303756578
2023-04-17,1.1146407832213936
2023-04-18,1.128547602115826
2023-04-19,1.1198692502091787
2023-04-20,1.1365265447708697
2023-04-21,1.118296944605664
2023-04-24,1.1118150122700916
2023-04-25,1.1055818026740616
2023-04-26,1.0822616601036916
2023-04-27,1.083496524594748
2023-04-28,1.107204640318528
2023-05-04,1.0864725973723304
2023-05-05,1.1130093962804264
2023-05-08,1.1332311505198835
2023-05-09,1.119710753223571
2023-05-10,1.0988236609716462
2023-05-11,1.0980725751176643
2023-05-12,1.0795359546528067
2023-05-15,1.0882863577268385
2023-05-16,1.0759668738765311
2023-05-17,1.0667987921647166
2023-05-18,1.0648092765915695
2023-05-19,1.0564376656767125
2023-05-22,1.0611599804874627
2023-05-23,1.0472312692357457
