,oos_daily_return
2023-01-03,0.0
2023-01-04,0.0
2023-01-05,0.0
2023-01-06,0.0
2023-01-09,0.0
2023-01-10,0.0
2023-01-11,0.0
2023-01-12,0.0
2023-01-13,0.0
2023-01-16,0.0
2023-01-17,0.0
2023-01-18,0.0
2023-01-19,0.0
2023-01-20,0.0
2023-01-30,0.0
2023-01-31,0.0
2023-02-01,-0.0008000000000000229
2023-02-02,-0.0046096830152972945
2023-02-03,0.0002419380511253788
2023-02-06,-0.009150247768387576
2023-02-07,0.007679011278682868
2023-02-08,-0.013252642868086362
2023-02-09,0.031223774389817383
2023-02-10,0.008005343746788629
2023-02-13,-0.003258269572121275
2023-02-14,0.004776142802750183
2023-02-15,0.04693536140077015
2023-02-16,0.00784110726134113
2023-02-17,-0.045604412535050654
2023-02-20,0.04697627199617793
2023-02-21,0.01255596015364624
2023-02-22,0.012942472781126035
2023-02-23,-0.016484806629834314
2023-02-24,-0.000952810232333845
2023-02-27,0.016042608567327088
2023-02-28,0.01760805117803077
2023-03-01,0.01301003659504496
2023-03-02,-0.015315914415842569
2023-03-03,0.0021998742928976966
2023-03-06,-0.018252511070310007
2023-03-07,-0.013456772220317936
2023-03-08,0.0012936216326047134
2023-03-09,-0.0028955768353853273
2023-03-10,-0.01694492009132409
2023-03-13,0.00033222591362136455
2023-03-14,-0.010924555745272957
2023-03-15,0.00905035878208027
2023-03-16,-0.01295572549240942
2023-03-17,0.00907506069048658
2023-03-20,-0.004277607100187875
2023-03-21,0.007371309189702968
2023-03-22,0.035433300463360684
2023-03-23,0.004911662642336001
2023-03-24,-0.0016578249336871576
2023-03-27,-0.024192173944393547
2023-03-28,-0.014205440198263641
2023-03-29,0.005246770911370824
2023-03-30,0.01196347512136997
2023-03-31,-0.015270356767562054
2023-04-03,0.012714036725801403
2023-04-04,-0.003796755783835759
2023-04-06,0.007312024426628927
2023-04-07,0.051729884961349226
2023-04-10,-0.013461067096382173
2023-04-11,-0.0017310077828710524
2023-04-12,0.016659073405723035
2023-04-13,-0.02332498539725114
2023-04-14,0.0008273691512619141
2023-04-17,0.0018906806884633198
2023-04-18,0.012476502837300396
2023-04-19,-0.007689841252931706
2023-04-20,0.014874320871458568
2023-04-21,-0.016039748696657807
2023-04-24,-0.0057962532821354
2023-04-25,-0.005606336960051528
2023-04-26,-0.021093095521259153
2023-04-27,0.0011410036376398036
2023-04-28,0.021881118384433407
2023-05-04,-0.01872467129494082
2023-05-05,0.024424729139304713
2023-05-08,0.018168538654782518
2023-05-09,-0.011930838020213108
2023-05-10,-0.018654007020824315
2023-05-11,-0.0006835362949118018
2023-05-12,-0.01688105220446956
2023-05-15,0.008105707861157718
2023-05-16,-0.011320075605872448
2023-05-17,-0.00852078436093806
2023-05-18,-0.0018649398441011877
2023-05-19,-0.007862075489851517
2023-05-22,0.004470036391333476
2023-05-23,-0.01312592965041759
2023-05-24,-0.020205390298468795
2023-05-25,0.0012858779671924836
2023-05-26,0.011256359883579092
2023-05-29,-0.008912351529363982
2023-05-30,0.007917892325712383
2023-05-31,-0.013780456065121238
2023-06-01,-0.006826231840620256
2023-06-02,0.03356370590429281
2023-06-05,-0.006287953197926632
2023-06-06,0.0006897628304962655
2023-06-07,0.009442581346868373
2023-06-08,0.01677091561172439
2023-06-09,-0.01716184293124534
2023-06-12,-0.007560372531834059
2023-06-13,0.0013040521476166411
2023-06-14,-0.008556965861613808
2023-06-15,0.017352283697523507
2023-06-16,-0.005435522769187129
2023-06-19,-0.019372320605147042
2023-06-20,-0.010325108546012984
2023-06-21,-0.00313472701910833
2023-06-26,-0.01440666602815821
2023-06-27,0.025679726137609382
2023-06-28,-0.002649621493357568
2023-06-29,-0.013002973659289818
2023-06-30,0.0020834692940361332
2023-07-03,0.0
2023-07-04,0.0
2023-07-05,0.0
2023-07-06,0.0
2023-07-07,0.0
2023-07-10,0.0
2023-07-11,0.0
2023-07-12,0.0
2023-07-13,0.0
2023-07-14,0.0
2023-07-17,0.0
2023-07-18,0.0
2023-07-19,0.0
2023-07-20,0.0
2023-07-21,0.0
2023-07-24,0.0
2023-07-25,0.0
2023-07-26,0.0
2023-07-27,0.0
2023-07-28,0.0
2023-07-31,0.0
2023-08-01,-0.0008000000000000229
2023-08-02,0.00014016120242876795
2023-08-03,0.008654487873368533
2023-08-04,-0.0004222743671215001
2023-08-07,-0.0326820920230223
2023-08-08,-0.004033399487160194
2023-08-09,-0.00685699249153493
2023-08-10,0.00046677297738706436
2023-08-11,-0.025022062611495643
2023-08-14,0.001283738993200334
2023-08-15,0.004516474058520847
2023-08-16,-0.008040817713216852
2023-08-17,-0.0022801627863331397
2023-08-18,-0.017929037736115316
2023-08-21,-0.012818980647692602
2023-08-22,0.01818964983507665
2023-08-23,-0.02364739201008237
2023-08-24,-0.0019380449815310508
2023-08-25,-0.0012536847820316943
2023-08-28,0.02316008933586633
2023-08-29,0.007185545389734704
2023-08-30,0.005072144251896837
2023-08-31,0.0005232174657328059
2023-09-01,0.01582211166124048
2023-09-04,0.01712698404875157
2023-09-05,-0.007372220929794393
2023-09-06,-0.003600341893448822
2023-09-07,-0.014981431051239391
2023-09-08,-0.005545471922259404
2023-09-11,0.008881297572110647
2023-09-12,-0.002707485738604243
2023-09-13,-0.011413974824932227
2023-09-14,0.0007268625314138522
2023-09-15,-0.007781821426720792
2023-09-18,-0.002410021041962751
2023-09-19,-0.0009826070952190236
2023-09-20,-0.0016922558616743189
2023-09-21,0.0011536044821998104
2023-09-22,0.020293421231494024
2023-09-25,-0.013688320263082643
2023-09-26,-0.0010299441196908177
2023-09-27,-0.004280498073276129
2023-09-28,0.0029210751798247614
2023-10-09,0.0025619021214589033
2023-10-10,-0.011921205963156711
2023-10-11,0.005293138686372156
2023-10-12,0.004405294300413143
2023-10-13,-0.014103796029613869
2023-10-16,-0.018180432532000412
2023-10-17,-0.004248660694439299
2023-10-18,-0.016587802468942314
2023-10-19,-0.02042479376458506
2023-10-20,-0.009496405052660584
2023-10-23,-0.016828233949022664
2023-10-24,-0.011734757692859366
2023-10-25,0.005322169460821646
2023-10-26,-0.0009813763340527082
2023-10-27,0.009284289012065905
2023-10-30,0.01205772842033248
2023-10-31,-0.01847860090391029
2023-11-01,-0.007876953929896846
2023-11-02,-0.0037172089126544794
2023-11-03,0.01720590375660036
2023-11-06,0.029233582732989483
2023-11-07,-0.0006197700826294783
2023-11-08,-0.0012044986272292668
2023-11-09,0.0012848605135797886
2023-11-10,-0.010193710041037418
2023-11-13,0.0022476404227309565
2023-11-14,0.0037372557915456017
2023-11-15,0.007711058507589241
2023-11-16,-0.007425679468465285
2023-11-17,-0.00574642635184941
2023-11-20,-0.0026075877840837647
2023-11-21,0.0034361780866534186
2023-11-22,-0.014119159470966425
2023-11-23,0.013372443510404342
2023-11-24,-0.005813926928439961
2023-11-27,-0.005562885870232237
2023-11-28,-0.003352209065258349
2023-11-29,-0.013824070996211302
2023-11-30,0.001461966008289739
2023-12-01,0.0010878850508801996
2023-12-04,-0.007358862770621699
2023-12-05,-0.021464059403329627
2023-12-06,0.003949371381951394
2023-12-07,0.0008414553198596852
2023-12-08,0.003336459654397217
2023-12-11,-0.003411865453553542
2023-12-12,0.005492183121508898
2023-12-13,-0.02245206889647622
2023-12-14,-0.0022437946052340507
2023-12-15,0.006024438076864591
2023-12-18,-0.009816392816773045
2023-12-19,0.00039846782797914315
2023-12-20,-0.007391897306896267
2023-12-21,0.010989577212669355
2023-12-22,-0.002496091672469003
2023-12-25,0.0037284680049640695
2023-12-26,-0.012395185156382382
2023-12-27,0.012070604367204751
2023-12-28,0.030215918096545558
2023-12-29,0.004067490661583628
2024-01-02,0.0
2024-01-03,0.0
2024-01-04,0.0
2024-01-05,0.0
2024-01-08,0.0
2024-01-09,0.0
2024-01-10,0.0
2024-01-11,0.0
2024-01-12,0.0
2024-01-15,0.0
2024-01-16,0.0
2024-01-17,0.0
2024-01-18,0.0
2024-01-19,0.0
2024-01-22,0.0
2024-01-23,0.0
2024-01-24,0.0
2024-01-25,0.0
2024-01-26,0.0
2024-01-29,0.0
2024-01-30,0.0
2024-01-31,0.0
2024-02-01,-0.0008000000000000229
2024-02-02,0.0003755017053459486
2024-02-05,0.010405146146890809
2024-02-06,0.03894397990949727
2024-02-07,-0.006249770003607047
2024-02-08,0.0024445385393567776
2024-02-19,0.021229868942964414
2024-02-20,0.013878334525352143
2024-02-21,0.04072540068937869
2024-02-22,0.010168356456776939
2024-02-23,-0.011410052288605366
2024-02-26,-0.011468965654053753
2024-02-27,-0.0009477859372037933
2024-02-28,-0.015736914751484088
2024-02-29,0.021483410544778092
2024-03-01,-0.0004290876794936782
2024-03-04,-0.0017057569296374808
2024-03-05,0.0039605837686074175
2024-03-06,0.0265280412659743
2024-03-07,-0.005966288869514891
2024-03-08,-0.011244101295613818
2024-03-11,-0.018633534416364728
2024-03-12,-0.01982524555802001
2024-03-13,-0.018630105655055074
2024-03-14,0.02905730994152056
2024-03-15,-0.009172132757888418
2024-03-18,0.022406876790830976
2024-03-19,-0.016145405255537426
2024-03-20,-0.009694073020388827
2024-03-21,-0.006003239990742926
2024-03-22,-0.0014446952595936757
2024-03-25,0.025670055145837534
2024-03-26,0.013665534361118281
2024-03-27,-0.014184867942351631
2024-03-28,0.013843790012804336
2024-03-29,0.02064987014905162
2024-04-01,0.040330264073403344
2024-04-02,-0.01164946849895554
2024-04-03,0.0041953533183460845
2024-04-08,0.004574840650674261
2024-04-09,-0.011646816938153837
2024-04-10,0.0036015617264599786
2024-04-11,0.008134748447202966
2024-04-12,-0.01263133092830504
2024-04-15,0.023509352489177848
2024-04-16,-0.01644860084838773
2024-04-17,0.033517602421516024
2024-04-18,-0.0020881269844619244
2024-04-19,-0.003605258828383473
2024-04-22,-0.025768784979804282
2024-04-23,-0.01553840554644259
2024-04-24,0.0048141016581872975
2024-04-25,0.0003883789441776475
2024-04-26,0.009071162212507256
2024-04-29,-0.005882665555493327
2024-04-30,-0.003121714754091731
2024-05-06,0.024746629949881305
2024-05-07,-0.005611692651082745
2024-05-08,-0.01266222993407462
2024-05-09,0.029533248706181237
2024-05-10,0.00310992938623178
2024-05-13,-0.0009038608800373549
2024-05-14,-0.015110444927034505
2024-05-15,-0.005616496328455511
2024-05-16,0.010926817261937227
2024-05-17,-0.0016182594274655182
2024-05-20,0.0018152722034932012
2024-05-21,0.007746395904290715
2024-05-22,-0.00808752376356936
2024-05-23,-0.017059707972855498
2024-05-24,0.002814221179198828
2024-05-27,0.012557261858946456
2024-05-28,-0.013741564144789997
2024-05-29,-0.014274668411348501
2024-05-30,-0.015876992809585766
2024-05-31,0.00941094329915848
2024-06-03,-0.002228342730509758
2024-06-04,0.009861269732684974
2024-06-05,-0.024462206658177332
2024-06-06,0.005816020193269988
2024-06-07,0.011909894055535108
2024-06-11,-0.014706051981232982
2024-06-12,0.006832743701934874
2024-06-13,-0.013389508169819875
2024-06-14,0.009033873072691101
2024-06-17,-0.015587900471621396
2024-06-18,0.007531025812377301
2024-06-19,-0.001898477309964397
2024-06-20,-0.008857863730745152
2024-06-21,0.005032273524649966
2024-06-24,-0.0074401910237106295
2024-06-25,0.006998135065704902
2024-06-26,-0.0014265335235378318
2024-06-27,-0.014499292326436874
2024-06-28,0.009815268380907405
2024-07-01,0.0
2024-07-02,0.0
2024-07-03,0.0
2024-07-04,0.0
2024-07-05,0.0
2024-07-08,0.0
2024-07-09,0.0
2024-07-10,0.0
2024-07-11,0.0
2024-07-12,0.0
2024-07-15,0.0
2024-07-16,0.0
2024-07-17,0.0
2024-07-18,0.0
2024-07-19,0.0
2024-07-22,0.0
2024-07-23,0.0
2024-07-24,0.0
2024-07-25,0.0
2024-07-26,0.0
2024-07-29,0.0
2024-07-30,0.0
2024-07-31,0.0
2024-08-01,-0.0008000000000000229
2024-08-02,-0.013081604035811267
2024-08-05,-0.010072894913117136
2024-08-06,-0.010309666213084934
2024-08-07,0.0002610114192496127
2024-08-08,0.0003463432250789822
2024-08-09,0.008698743879071769
2024-08-12,-0.0019721329046087366
2024-08-13,-0.006323845327604771
2024-08-14,-0.004570560643287869
2024-08-15,0.01227173129753134
2024-08-16,0.009740097094209421
2024-08-19,0.017802390888268516
2024-08-20,0.0028342916004298058
2024-08-21,-0.0012186638917794923
2024-08-22,0.001816391290075714
2024-08-23,0.009093609671847913
2024-08-26,0.0013673269941445465
2024-08-27,-0.005904110167701648
2024-08-28,-0.009618315346688222
2024-08-29,-0.0184560301507537
2024-08-30,0.003746262836344716
2024-09-02,-0.008241471399711209
2024-09-03,-0.003328846933884022
2024-09-04,-0.009624611386942483
2024-09-05,0.0012640885316135275
2024-09-06,-0.005649557548850881
2024-09-09,-0.021044974731902255
2024-09-10,0.008570267427405742
2024-09-11,-0.005292792792792711
2024-09-12,-0.004752371730516791
2024-09-13,-0.012171273634705826
2024-09-18,0.017189158616506273
2024-09-19,0.012094729502741375
2024-09-20,-0.0009050403787244088
2024-09-23,0.017760404557079834
2024-09-24,0.041045885871730636
2024-09-25,0.015375480699525657
2024-09-26,0.05575980392156854
2024-09-27,0.033860855511194776
2024-09-30,0.06645866711639536
2024-10-08,0.03132701917195457
2024-10-09,-0.09729598257246497
2024-10-10,0.03118078514580458
2024-10-11,-0.029892808786892933
2024-10-14,0.024106675084536677
2024-10-15,-0.023218005130204222
2024-10-16,-0.0024201643166469333
2024-10-17,-0.012505400272876055
2024-10-18,0.01985187985444492
2024-10-21,-0.0077814722412253845
2024-10-22,0.007188148771175795
2024-10-23,0.012517907430847908
2024-10-24,-0.013003777121873172
2024-10-25,0.014722364453547243
2024-10-28,-0.0012599895880411882
2024-10-29,-0.01597529787438723
