date,open,high,low,close,volume,amount,turnover,outstanding_share,ticker,adj_factor,market_cap,is_suspended,is_limit_up,is_limit_down
2021-01-04,4.05,4.13,4.02,4.1,40248187.0,228630325.0,0.007594774059797305,5299458112.0,601872.SH,1.0,21727778259.199997,False,False,False
2021-01-05,4.07,4.3,3.99,4.2,73991143.0,425492234.0,0.013962020537997225,5299458112.0,601872.SH,1.0,22257724070.4,False,False,False
2021-01-06,4.15,4.17,4.06,4.1,41051997.0,234091701.0,0.007746451831941567,5299458112.0,601872.SH,1.0,21727778259.199997,False,False,False
2021-01-07,4.07,4.23,4.05,4.12,51489168.0,297204787.0,0.009715930744581004,5299458112.0,601872.SH,1.0,21833767421.440002,False,False,False
2021-01-08,4.08,4.25,4.08,4.24,77707696.0,453984167.0,0.013876792470289374,5599831241.0,601872.SH,1.0,23743284461.84,False,False,False
2021-01-11,4.24,4.31,4.05,4.06,75941565.0,438391200.0,0.013561402430127269,5599831241.0,601872.SH,1.0,22735314838.46,False,False,False
2021-01-12,4.02,4.18,4.0,4.16,47698064.0,272193098.0,0.008517768116076697,5599831241.0,601872.SH,1.0,23295297962.56,False,False,False
2021-01-13,4.16,4.35,4.15,4.31,118584866.0,704788783.0,0.021176507093957263,5599831241.0,601872.SH,1.0,24135272648.71,False,False,False
2021-01-14,4.25,4.3,4.18,4.2,74688484.0,438418549.0,0.013337631222376332,5599831241.0,601872.SH,1.0,23519291212.2,False,False,False
2021-01-15,4.2,4.26,4.16,4.19,48138020.0,281706843.0,0.008596334055131931,5599831241.0,601872.SH,1.0,23463292899.79,False,False,False
2021-01-18,4.2,4.28,4.16,4.25,65497081.0,384645257.0,0.011696259794483332,5599831241.0,601872.SH,1.0,23799282774.25,False,False,False
2021-01-19,4.22,4.22,4.11,4.15,53282055.0,307571115.0,0.00951493941636803,5599831241.0,601872.SH,1.0,23239299650.15,False,False,False
2021-01-20,4.11,4.15,4.1,4.12,24165136.0,138662320.0,0.004315332902011645,5599831241.0,601872.SH,1.0,23071304712.920002,False,False,False
2021-01-21,4.12,4.12,4.07,4.07,42701385.0,242879088.0,0.007625477119266638,5599831241.0,601872.SH,1.0,22791313150.870003,False,False,False
