date,open,high,low,close,volume,amount,turnover,outstanding_share,ticker,adj_factor,market_cap,is_suspended,is_limit_up,is_limit_down
2021-01-04,29.13,30.88,28.62,30.71,32016813.0,1014418253.0,0.026519680277987047,1207285030.0,300316.SZ,1.0,37075723271.3,False,False,False
2021-01-05,30.49,31.47,29.82,31.21,32634825.0,1054404320.0,0.027024867143309983,1207585030.0,300316.SZ,1.0,37688728786.3,False,False,False
2021-01-06,31.19,31.28,29.86,30.52,23718304.0,760626847.0,0.019641104693058343,1207585030.0,300316.SZ,1.0,36855495115.6,False,False,False
2021-01-07,30.72,33.71,30.71,32.96,50604365.0,1718121047.0,0.04190542590611611,1207585030.0,300316.SZ,1.0,39802002588.8,False,False,False
2021-01-08,32.97,33.51,31.86,32.67,35405936.0,1209298562.0,0.029319621492823574,1207585030.0,300316.SZ,1.0,39451802930.1,False,False,False
2021-01-11,33.09,34.34,31.6,32.43,47187776.0,1643101177.0,0.03907615184663228,1207585030.0,300316.SZ,1.0,39161982522.9,False,False,False
2021-01-12,31.47,35.07,31.47,34.99,46197470.0,1636395934.0,0.03825608040205666,1207585030.0,300316.SZ,1.0,42253400199.700005,False,False,False
2021-01-13,34.8,35.97,34.04,35.15,42819580.0,1573659389.0,0.03545885294719164,1207585030.0,300316.SZ,1.0,42446613804.5,False,False,False
2021-01-14,35.12,37.51,33.74,35.75,54426412.0,2040634191.0,0.045070459344796615,1207585030.0,300316.SZ,1.0,43171164822.5,False,False,False
2021-01-15,35.56,35.75,33.28,34.42,33120062.0,1203707876.0,0.027426691435550505,1207585030.0,300316.SZ,1.0,41565076732.6,False,False,False
2021-01-18,34.87,37.86,33.72,36.61,41293885.0,1587218671.0,0.03419542638749008,1207585030.0,300316.SZ,1.0,44209687948.3,False,False,False
2021-01-19,36.43,38.39,36.09,37.07,39031313.0,1530997785.0,0.032321792693968725,1207585030.0,300316.SZ,1.0,44765177062.1,False,False,False
2021-01-20,37.18,40.9,37.07,40.32,42587106.0,1763028299.0,0.035266341451748534,1207585030.0,300316.SZ,1.0,48689828409.6,False,False,False
2021-01-21,40.89,43.54,40.18,40.77,55070336.0,2402927956.0,0.04560369218886392,1207585030.0,300316.SZ,1.0,49233241673.100006,False,False,False
2021-01-22,41.28,43.22,40.65,42.79,41737257.0,1841328013.0,0.0345625823135618,1207585030.0,300316.SZ,1.0,51672563433.7,False,False,False
2021-01-25,42.27,43.34,40.6,41.11,39879387.0,1758196889.0,0.03302408195636543,1207585030.0,300316.SZ,1.0,49643820583.3,False,False,False
2021-01-26,40.51,41.35,39.22,39.27,33526049.0,1408644554.0,0.027762888879137564,1207585030.0,300316.SZ,1.0,47421864128.100006,False,False,False
2021-01-27,40.56,42.96,38.2,41.84,57529729.0,2444954415.0,0.04764031316287516,1207585030.0,300316.SZ,1.0,50525357655.200005,False,False,False
2021-01-28,40.89,41.13,39.12,39.77,39564419.0,1674040273.0,0.03276325725899401,1207585030.0,300316.SZ,1.0,48025656643.100006,False,False,False
2021-01-29,40.22,41.33,37.09,38.17,37137632.0,1525591043.0,0.030753637282171342,1207585030.0,300316.SZ,1.0,46093520595.1,False,False,False
2021-02-01,39.47,39.8,38.26,39.18,21309632.0,877184123.0,0.01764648573028435,1207585030.0,300316.SZ,1.0,47313181475.4,False,False,False
2021-02-02,41.13,41.65,40.08,40.51,31601539.0,1355927576.0,0.02616920400213971,1207585030.0,300316.SZ,1.0,48919269565.299995,False,False,False
2021-02-03,40.37,41.04,38.96,39.29,25203507.0,1055243537.0,0.0208709998665684,1207585030.0,300316.SZ,1.0,47446015828.7,False,False,False
2021-02-04,38.77,39.22,36.98,38.12,26873560.0,1076012517.0,0.02225396914700077,1207585030.0,300316.SZ,1.0,46033141343.6,False,False,False
2021-02-05,38.8,40.73,38.14,38.3,26181534.0,1084387651.0,0.021680903083073164,1207585030.0,300316.SZ,1.0,46250506649.0,False,False,False
2021-02-08,37.47,39.09,36.2,38.51,19598666.0,781173008.0,0.016229636433966063,1207585030.0,300316.SZ,1.0,46504099505.299995,False,False,False
2021-02-09,38.71,40.18,38.37,39.67,20167580.0,837867589.0,0.01670075356929524,1207585030.0,300316.SZ,1.0,47904898140.1,False,False,False
2021-02-10,39.8,40.3,38.15,39.64,19044446.0,790661926.0,0.015770687385881225,1207585030.0,300316.SZ,1.0,47868670589.2,False,False,False
2021-02-18,40.34,42.36,39.88,41.22,29594557.0,1281314526.0,0.024507224141392347,1207585030.0,300316.SZ,1.0,49776654936.6,False,False,False
2021-02-19,40.89,40.98,38.68,40.03,20479118.0,857354700.0,0.01695873788697099,1207585030.0,300316.SZ,1.0,48339628750.9,False,False,False
2021-02-22,39.63,40.19,38.04,38.26,25801844.0,1056272420.0,0.021366482159852544,1207585030.0,300316.SZ,1.0,46202203247.799995,False,False,False
2021-02-23,37.74,38.74,37.51,37.86,14469289.0,578711419.0,0.011982004281719192,1207585030.0,300316.SZ,1.0,45719169235.8,False,False,False
2021-02-24,37.82,38.04,36.13,36.47,18441941.0,715600247.0,0.01527175357581238,1207585030.0,300316.SZ,1.0,44040626044.1,False,False,False
2021-02-25,37.06,37.25,35.09,35.37,16694617.0,631747682.0,0.013824796254720051,1207585030.0,300316.SZ,1.0,42712282511.1,False,False,False
2021-02-26,34.4,35.81,33.95,35.55,16684919.0,615864909.0,0.013816765350262748,1207585030.0,300316.SZ,1.0,42929647816.5,False,False,False
2021-03-01,35.74,36.47,35.47,35.83,11928858.0,451109888.0,0.009878275817976975,1207585030.0,300316.SZ,1.0,43267771624.9,False,False,False
2021-03-02,36.4,36.42,34.99,35.26,13366330.0,498499931.0,0.011068644996369325,1207585030.0,300316.SZ,1.0,42579448157.799995,False,False,False
