date,open,high,low,close,volume,amount,turnover,outstanding_share,ticker,adj_factor,market_cap,is_suspended,is_limit_up,is_limit_down
2021-01-04,115.36,117.53,112.91,114.28,1831954.0,298423272.0,0.051198451129711574,35781434.0,300866.SZ,1.0,4089102277.52,False,False,False
2021-01-05,113.61,113.61,110.39,111.38,2106700.0,332448246.0,0.05887690247405959,35781434.0,300866.SZ,1.0,3985336118.9199996,False,False,False
2021-01-06,112.2,117.12,110.79,114.96,2052596.0,331697678.0,0.057364833393765045,35781434.0,300866.SZ,1.0,4113433652.64,False,False,False
2021-01-07,115.65,117.34,111.46,116.55,3329491.0,536501921.0,0.09305079835537056,35781434.0,300866.SZ,1.0,4170326132.7,False,False,False
2021-01-08,115.73,119.03,112.91,117.71,1595181.0,262993242.0,0.04458124847651439,35781434.0,300866.SZ,1.0,4211832596.14,False,False,False
2021-01-11,117.87,120.67,115.63,119.53,1667869.0,279669615.0,0.046612693051933024,35781434.0,300866.SZ,1.0,4276954806.02,False,False,False
2021-01-12,118.85,129.01,117.85,128.63,1892368.0,335298662.0,0.052886868648137464,35781434.0,300866.SZ,1.0,4602565855.42,False,False,False
2021-01-13,128.34,131.8,124.82,129.28,1391977.0,252821434.0,0.038902213924685076,35781434.0,300866.SZ,1.0,4625823787.52,False,False,False
2021-01-14,127.02,132.52,124.46,131.82,1321423.0,242978171.0,0.03693040921724937,35781434.0,300866.SZ,1.0,4716708629.88,False,False,False
2021-01-15,131.21,131.64,126.67,126.98,906127.0,165282992.0,0.02532394313766184,35781434.0,300866.SZ,1.0,4543526489.32,False,False,False
2021-01-18,126.61,128.9,124.62,127.22,795599.0,142831204.0,0.022234966882545847,35781434.0,300866.SZ,1.0,4552114033.48,False,False,False
2021-01-19,126.35,133.07,126.35,129.5,1325398.0,243487230.0,0.03704150034903576,35781434.0,300866.SZ,1.0,4633695703.0,False,False,False
2021-01-20,129.21,129.87,125.03,127.0,1456203.0,261222233.0,0.040697167139807755,35781434.0,300866.SZ,1.0,4544242118.0,False,False,False
2021-01-21,126.24,128.34,123.21,127.69,1203900.0,214408174.0,0.03364594051764387,35781434.0,300866.SZ,1.0,4568931307.46,False,False,False
2021-01-22,127.51,130.53,124.9,130.19,1074575.0,195448584.0,0.03003163595958731,35781434.0,300866.SZ,1.0,4658384892.46,False,False,False
2021-01-25,128.78,144.66,128.43,136.23,2488114.0,486190050.0,0.06953645289900902,35781434.0,300866.SZ,1.0,4874504753.82,False,False,False
2021-01-26,135.99,138.28,130.97,133.36,1429714.0,272137831.0,0.03995686701656507,35781434.0,300866.SZ,1.0,4771812038.240001,False,False,False
2021-01-27,132.66,136.54,132.1,136.12,888603.0,169985657.0,0.024834191944347453,35781434.0,300866.SZ,1.0,4870568796.08,False,False,False
2021-01-28,134.06,134.59,128.43,128.57,1055001.0,195358978.0,0.029484592484471137,35781434.0,300866.SZ,1.0,4600418969.38,False,False,False
2021-01-29,129.84,130.9,126.07,126.62,981027.0,177825946.0,0.02741720748251733,35781434.0,300866.SZ,1.0,4530645173.08,False,False,False
2021-02-01,125.98,127.65,122.09,126.65,1042475.0,185125667.0,0.029134522668934956,35781434.0,300866.SZ,1.0,4531718616.1,False,False,False
2021-02-02,127.72,130.55,124.8,126.35,849086.0,153694274.0,0.023729792383390784,35781434.0,300866.SZ,1.0,4520984185.9,False,False,False
2021-02-03,126.35,126.38,119.96,119.96,973900.0,168160315.0,0.027218025974028878,35781434.0,300866.SZ,1.0,4292340822.64,False,False,False
2021-02-04,118.59,121.37,117.84,120.74,656541.0,111220546.0,0.018348649749476222,35781434.0,300866.SZ,1.0,4320250341.16,False,False,False
2021-02-05,121.37,121.78,117.84,119.11,455900.0,77486196.0,0.012741244523626415,35781434.0,300866.SZ,1.0,4261926603.74,False,False,False
2021-02-08,119.83,120.67,115.38,118.54,384602.0,64409747.0,0.010748646910014842,35781434.0,300866.SZ,1.0,4241531186.36,False,False,False
2021-02-09,118.2,124.2,117.85,122.54,674262.0,115715752.0,0.01884390659133449,35781434.0,300866.SZ,1.0,4384656922.360001,False,False,False
2021-02-10,122.78,126.65,121.84,125.56,620263.0,109967786.0,0.017334771993766377,35781434.0,300866.SZ,1.0,4492716853.04,False,False,False
2021-02-18,126.32,130.19,124.93,128.45,575416.0,104579006.0,0.016081412500125066,35781434.0,300866.SZ,1.0,4596125197.299999,False,False,False
2021-02-19,128.07,130.35,124.28,127.34,421598.0,75619138.0,0.011782590938082583,35781434.0,300866.SZ,1.0,4556407805.56,False,False,False
2021-02-22,126.43,127.02,119.11,119.57,802545.0,138650345.0,0.022468084091377516,35719334.0,300866.SZ,1.0,4270960766.3799996,False,False,False
2021-02-23,112.92,118.54,112.92,116.17,743115.0,121992880.0,0.02080427927351613,35719334.0,300866.SZ,1.0,4149515030.78,False,False,False
2021-02-24,115.73,115.73,104.79,105.65,2076652.0,316509513.0,0.054541039817822885,38075035.0,300866.SZ,1.0,4022627447.75,False,False,False
2021-02-25,105.82,110.8,104.41,109.78,1372431.0,209188000.0,0.03604542976782556,38075035.0,300866.SZ,1.0,4179877342.3,False,False,False
2021-02-26,108.67,109.38,105.29,108.63,738715.0,112677046.0,0.019401558002507417,38075035.0,300866.SZ,1.0,4136091052.0499997,False,False,False
2021-03-01,109.33,110.11,106.55,109.41,444057.0,68524414.0,0.011662681334370407,38075035.0,300866.SZ,1.0,4165789579.35,False,False,False
2021-03-02,111.13,115.34,109.53,110.7,1070001.0,169736833.0,0.028102429846748662,38075035.0,300866.SZ,1.0,4214906374.5,False,False,False
2021-03-03,112.26,112.26,110.08,111.25,426030.0,67172754.0,0.011189221493821346,38075035.0,300866.SZ,1.0,4235847643.75,False,False,False
2021-03-04,110.21,111.41,108.32,109.16,505015.0,78459292.0,0.013263677892876526,38075035.0,300866.SZ,1.0,4156270820.6,False,False,False
2021-03-05,107.96,110.53,105.94,108.05,441281.0,67588076.0,0.011589772668626569,38075035.0,300866.SZ,1.0,4114007531.75,False,False,False
2021-03-08,108.05,108.05,100.22,100.29,963224.0,141537791.0,0.02529804634454046,38075035.0,300866.SZ,1.0,3818545260.15,False,False,False
2021-03-09,100.27,100.27,94.56,97.29,1045598.0,144784072.0,0.027461511197560292,38075035.0,300866.SZ,1.0,3704320155.15,False,False,False
2021-03-10,97.42,99.5,92.51,94.25,817523.0,110358727.0,0.021471365686203572,38075035.0,300866.SZ,1.0,3588572048.75,False,False,False
2021-03-11,94.25,95.74,92.17,95.57,906656.0,121302239.0,0.023812348432509647,38075035.0,300866.SZ,1.0,3638831094.95,False,False,False
