,turnover
2021-02-01,0.5
2021-03-01,0.4982996748338128
2021-04-01,0.6404330104162776
2021-05-06,0.5455173829978552
2021-06-01,0.4010969061917183
2021-07-01,0.35478685255219955
2021-08-02,0.40050507631665166
2021-09-01,0.31111652547716967
2021-10-08,0.35719922091988954
2021-11-01,0.3834024571076001
2021-12-01,0.3640121036436459
2022-01-04,0.3467532233559989
2022-02-07,0.5803907684071697
2022-03-01,0.4396937486028072
2022-04-01,0.4330062977449914
2022-05-05,0.45378604326575356
2022-06-01,0.35938912993957245
2022-07-01,0.3735205347912869
2022-08-01,0.42700802280671657
2022-09-01,0.4896282486431762
2022-10-10,0.5116749349018599
2022-11-01,0.528682245443375
2022-12-01,0.5306176641104927
2023-01-03,0.4942201747575552
2023-02-01,0.5456563148766551
2023-03-01,0.3771964961594072
2023-04-03,0.46233195038304
2023-05-04,0.39959710026919926
2023-06-01,0.6620993411088181
2023-07-03,0.7040585287970256
2023-08-01,0.6803326584029316
2023-09-01,0.7065372668497563
2023-10-09,0.6651960561129772
2023-11-01,0.5469351124122068
2023-12-01,0.4864897588751294
2024-01-02,0.5748376202324129
2024-02-01,0.709512025324601
2024-03-01,0.6863514995917084
2024-04-01,0.43082909773262723
2024-05-06,0.5925177896258936
2024-06-03,0.5949733888850905
2024-07-01,0.486219773152098
2024-08-01,0.6757354601150873
2024-09-02,0.6209044545849681
2024-10-08,0.7105880886252318
2024-11-01,0.3522545775031491
2024-12-02,0.5397729902653603
2024-12-31,0.7048684284783562
