date,buy_turnover,sell_turnover,one_way_turnover,cost
2021-02-01,1.0,0.0,0.5,0.0008
2021-03-01,0.49829967483381277,0.4982996748338129,0.4982996748338128,0.0012955791545679134
2021-04-01,0.6404330104162776,0.6404330104162775,0.6404330104162776,0.0016651258270823218
2021-05-06,0.5455173829978551,0.5455173829978552,0.5455173829978552,0.0014183451957944233
2021-06-01,0.40109690619171834,0.4010969061917182,0.4010969061917183,0.0010428519560984676
2021-07-01,0.35478685255219955,0.35478685255219955,0.35478685255219955,0.0009224458166357187
2021-08-02,0.40050507631665166,0.4005050763166517,0.40050507631665166,0.0010413131984232946
2021-09-01,0.3111165254771696,0.31111652547716967,0.31111652547716967,0.0008089029662406413
2021-10-08,0.35719922091988954,0.35719922091988954,0.35719922091988954,0.0009287179743917126
2021-11-01,0.3834024571076001,0.38340245710760007,0.3834024571076001,0.00099684638847976
2021-12-01,0.36401210364364595,0.36401210364364595,0.3640121036436459,0.0009464314694734794
2022-01-04,0.346753223355999,0.3467532233559988,0.3467532233559989,0.0009015583807255971
2022-02-07,0.5803907684071697,0.5803907684071699,0.5803907684071697,0.0015090159978586415
2022-03-01,0.43969374860280724,0.4396937486028072,0.4396937486028072,0.0011432037463672987
2022-04-01,0.43300629774499144,0.43300629774499133,0.4330062977449914,0.0011258163741369777
2022-05-05,0.4537860432657535,0.45378604326575356,0.45378604326575356,0.0011798437124909593
2022-06-01,0.35938912993957245,0.35938912993957245,0.35938912993957245,0.0009344117378428884
2022-07-01,0.3735205347912869,0.3735205347912869,0.3735205347912869,0.0009711533904573457
2022-08-01,0.42700802280671646,0.42700802280671657,0.42700802280671657,0.0011102208592974631
2022-09-01,0.48962824864317617,0.4896282486431763,0.4896282486431762,0.0012730334464722583
2022-10-10,0.51167493490186,0.5116749349018597,0.5116749349018599,0.0013303548307448355
2022-11-01,0.528682245443375,0.528682245443375,0.528682245443375,0.0013745738381527753
2022-12-01,0.5306176641104928,0.5306176641104927,0.5306176641104927,0.001379605926687281
2023-01-03,0.4942201747575552,0.49422017475755525,0.4942201747575552,0.0012849724543696434
2023-02-01,0.5456563148766551,0.5456563148766552,0.5456563148766551,0.0014187064186793033
2023-03-01,0.3771964961594071,0.3771964961594072,0.3771964961594072,0.0009807108900144585
2023-04-03,0.4623319503830401,0.46233195038303987,0.46233195038304,0.0012020630709959038
2023-05-04,0.39959710026919915,0.39959710026919926,0.39959710026919926,0.001038952460699918
2023-06-01,0.6620993411088182,0.6620993411088181,0.6620993411088181,0.0017214582868829268
2023-07-03,0.7040585287970256,0.7040585287970256,0.7040585287970256,0.0018305521748722669
2023-08-01,0.6803326584029316,0.6803326584029314,0.6803326584029316,0.001768864911847622
2023-09-01,0.7065372668497563,0.7065372668497563,0.7065372668497563,0.001836996893809366
2023-10-09,0.665196056112977,0.6651960561129773,0.6651960561129772,0.001729509745893741
2023-11-01,0.5469351124122068,0.5469351124122067,0.5469351124122068,0.0014220312922717379
2023-12-01,0.4864897588751294,0.48648975887512946,0.4864897588751294,0.0012648733730753368
2024-01-02,0.5748376202324129,0.5748376202324128,0.5748376202324129,0.0014945778126042736
2024-02-01,0.7095120253246009,0.709512025324601,0.709512025324601,0.0018447312658439628
2024-03-01,0.6863514995917083,0.6863514995917084,0.6863514995917084,0.0017845138989384416
2024-04-01,0.4308290977326273,0.4308290977326273,0.43082909773262723,0.001120155654104831
2024-05-06,0.5925177896258936,0.5925177896258935,0.5925177896258936,0.0015405462530273231
2024-06-03,0.5949733888850905,0.5949733888850907,0.5949733888850905,0.0015469308111012358
2024-07-01,0.4862197731520981,0.486219773152098,0.486219773152098,0.001264171410195455
2024-08-01,0.6757354601150873,0.6757354601150873,0.6757354601150873,0.0017569121962992267
2024-09-02,0.6209044545849681,0.6209044545849682,0.6209044545849681,0.0016143515819209172
2024-10-08,0.7105880886252318,0.710588088625232,0.7105880886252318,0.001847529030425603
2024-11-01,0.35225457750314915,0.35225457750314904,0.3522545775031491,0.0009158619015081876
2024-12-02,0.5397729902653603,0.5397729902653603,0.5397729902653603,0.0014034097746899368
2024-12-31,0.7048684284783562,0.7048684284783561,0.7048684284783562,0.0018326579140437258
