,holding_count,top1_weight,top5_weight,herfindahl
2021-02-01,40,0.03304989450246791,0.16524947251233957,0.02606070516738557
2021-03-01,40,0.03556761715296276,0.16446473944923845,0.025687346516021142
2021-04-01,40,0.03615021734479316,0.16457833398282726,0.025691056517326047
2021-05-06,40,0.03251728622493783,0.15424347006969968,0.025431186710471537
2021-06-01,40,0.03439348973013558,0.159137033605658,0.02561329117344744
2021-07-01,40,0.0304499837430193,0.15039000088665733,0.02535196772197362
2021-08-02,40,0.030443318723979623,0.14930963665583083,0.025407379538357457
2021-09-01,40,0.03229566073770131,0.1548765836541206,0.025599498932033418
2021-10-08,40,0.032743762713441385,0.15651356997425148,0.02556500593885021
2021-11-01,40,0.03507237653259851,0.16530048714568654,0.025722209124322708
2021-12-01,40,0.03364751914448134,0.16276724970142734,0.025731835871831994
2022-01-04,40,0.034114107015002865,0.16225778923886008,0.025599621466833998
2022-02-07,40,0.03575791672764727,0.16415802575593874,0.02567071227245323
2022-03-01,40,0.03371953882395174,0.16081368386323652,0.02562451176722855
2022-04-01,40,0.03537765210213125,0.16742341671923266,0.026134681116538466
2022-05-05,40,0.03698498802228892,0.16870619189248545,0.025794060288271713
2022-06-01,40,0.03456948432806873,0.16222289664869627,0.02563960004394136
2022-07-01,40,0.03483890762795454,0.1612493797404605,0.02570967105208698
2022-08-01,40,0.03241981970560287,0.15634351151130407,0.02555014537699909
2022-09-01,40,0.03479506412943889,0.1604010331436384,0.025716700424752048
2022-10-10,40,0.03416814098900159,0.16164711913172353,0.025606477068130143
2022-11-01,40,0.03435135649078673,0.16267636973724933,0.025672318701744586
2022-12-01,40,0.035398758266696674,0.16683784795574863,0.025826061635156272
2023-01-03,40,0.03279924260147504,0.1561560692832506,0.025355918285922086
2023-02-01,40,0.03406270590035888,0.160635068023954,0.025697068841500487
2023-03-01,40,0.03313685816624068,0.15718483488988158,0.025661963215520046
2023-04-03,40,0.03468469395845993,0.15840658851060788,0.025474269083801772
2023-05-04,40,0.033930469358245875,0.15378796338256456,0.025406774045461916
2023-06-01,40,0.03436324661433454,0.15909604591672322,0.02556489639613978
2023-07-03,40,0.03496943076815461,0.1686575578537683,0.025720340742878125
2023-08-01,40,0.034993679954562394,0.1530362466963969,0.025332967853213522
2023-09-01,40,0.03860300597420631,0.16395584914188016,0.025594802600317053
2023-10-09,40,0.04118974316147607,0.17493644140636544,0.025949665276170906
2023-11-01,40,0.03497710172273029,0.16519613442461087,0.025662553612266038
2023-12-01,40,0.032666194235806696,0.15577723281479738,0.025516233593826047
2024-01-02,40,0.03175892001749058,0.15193275480304935,0.025327653651569457
2024-02-01,40,0.03816350992141561,0.16414922079708327,0.025632841123833808
2024-03-01,40,0.034733698221256624,0.1575447841755219,0.025456440712324214
2024-04-01,40,0.031369109465454695,0.15360151793017138,0.025479035193248366
2024-05-06,40,0.03351408744240578,0.15944214194249,0.02554113826305074
2024-06-03,40,0.03569800311911675,0.17024998843552602,0.026034219592522768
2024-07-01,40,0.03758612289694187,0.17267347356070895,0.0259206964272198
2024-08-01,40,0.04117913386809923,0.1860415373017408,0.026272159095495295
2024-09-02,40,0.039911610256873425,0.17198377404294135,0.025878919575604533
2024-10-08,40,0.03597455029240667,0.1614362332406506,0.025570012700398458
2024-11-01,40,0.03353406745297591,0.1527366239423837,0.025321867307055886
2024-12-02,40,0.03274002879096149,0.15057531025209225,0.02536555687712084
2024-12-31,40,0.03671490189940135,0.1663628627523744,0.0256521324701395
