,value
total_return,-0.5367490399115028
annual_return,-0.1813626546411512
annual_volatility,0.1920115399784048
sharpe,-0.9445403888826095
max_drawdown,-0.6006414595435543
win_rate,0.46439628482972134
avg_turnover,0.6208333333333333
