ticker,name,weight,as_of_date
600104.SH,上汽集团,0.276,2026-03-31
600111.SH,北方稀土,0.497,2026-03-31
600115.SH,中国东航,0.149,2026-03-31
600150.SH,中国船舶,0.573,2026-03-31
600160.SH,巨化股份,0.19,2026-03-31
600161.SH,天坛生物,0.061,2026-03-31
600176.SH,中国巨石,0.24,2026-03-31
600183.SH,生益科技,0.271,2026-03-31
600188.SH,兖矿能源,0.142,2026-03-31
600196.SH,复星医药,0.139,2026-03-31
600219.SH,南山铝业,0.176,2026-03-31
600233.SH,圆通速递,0.142,2026-03-31
600276.SH,恒瑞医药,1.015,2026-03-31
600309.SH,万华化学,0.614,2026-03-31
600346.SH,恒力石化,0.188,2026-03-31
600362.SH,江西铜业,0.184,2026-03-31
600372.SH,中航机载,0.129,2026-03-31
600377.SH,宁沪高速,0.025,2026-03-31
600406.SH,国电南瑞,0.43,2026-03-31
600415.SH,小商品城,0.146,2026-03-31
600426.SH,华鲁恒升,0.221,2026-03-31
600436.SH,片仔癀,0.188,2026-03-31
600438.SH,通威股份,0.184,2026-03-31
600460.SH,士兰微,0.122,2026-03-31
600482.SH,中国动力,0.145,2026-03-31
600489.SH,中金黄金,0.32,2026-03-31
600515.SH,海南机场,0.085,2026-03-31
600519.SH,贵州茅台,3.737,2026-03-31
600522.SH,中天科技,0.338,2026-03-31
600547.SH,山东黄金,0.299,2026-03-31
600570.SH,恒生电子,0.159,2026-03-31
600584.SH,长电科技,0.228,2026-03-31
600585.SH,海螺水泥,0.229,2026-03-31
600588.SH,用友网络,0.098,2026-03-31
600600.SH,青岛啤酒,0.09,2026-03-31
600660.SH,福耀玻璃,0.376,2026-03-31
600674.SH,川投能源,0.119,2026-03-31
600690.SH,海尔智家,0.33,2026-03-31
600741.SH,华域汽车,0.125,2026-03-31
600760.SH,中航沈飞,0.172,2026-03-31
600795.SH,国电电力,0.178,2026-03-31
600803.SH,新奥股份,0.085,2026-03-31
600809.SH,山西汾酒,0.287,2026-03-31
600845.SH,宝信软件,0.081,2026-03-31
600875.SH,东方电气,0.176,2026-03-31
600886.SH,国投电力,0.14,2026-03-31
600887.SH,伊利股份,0.686,2026-03-31
600893.SH,航发动力,0.264,2026-03-31
600900.SH,长江电力,1.362,2026-03-31
600905.SH,三峡能源,0.251,2026-03-31
600918.SH,中泰证券,0.079,2026-03-31
600919.SH,江苏银行,0.66,2026-03-31
600926.SH,杭州银行,0.35,2026-03-31
600930.SH,华电新能,0.075,2026-03-31
600938.SH,中国海油,0.394,2026-03-31
600941.SH,中国移动,0.348,2026-03-31
600958.SH,东方证券,0.195,2026-03-31
600989.SH,宝丰能源,0.263,2026-03-31
600999.SH,招商证券,0.236,2026-03-31
601006.SH,大秦铁路,0.267,2026-03-31
601009.SH,南京银行,0.29,2026-03-31
601012.SH,隆基绿能,0.438,2026-03-31
601018.SH,宁波港,0.065,2026-03-31
601021.SH,春秋航空,0.093,2026-03-31
601058.SH,赛轮轮胎,0.139,2026-03-31
601059.SH,信达证券,0.065,2026-03-31
601066.SH,中信建投,0.115,2026-03-31
601077.SH,渝农商行,0.154,2026-03-31
601088.SH,中国神华,0.687,2026-03-31
601100.SH,恒立液压,0.212,2026-03-31
601111.SH,中国国航,0.104,2026-03-31
601117.SH,中国化学,0.133,2026-03-31
601127.SH,赛力斯,0.305,2026-03-31
601136.SH,首创证券,0.036,2026-03-31
601138.SH,工业富联,0.841,2026-03-31
601166.SH,兴业银行,1.311,2026-03-31
601169.SH,北京银行,0.336,2026-03-31
601186.SH,中国铁建,0.134,2026-03-31
601211.SH,国泰海通,0.771,2026-03-31
601225.SH,陕西煤业,0.408,2026-03-31
601229.SH,上海银行,0.406,2026-03-31
601236.SH,红塔证券,0.045,2026-03-31
601238.SH,广汽集团,0.066,2026-03-31
601288.SH,农业银行,0.792,2026-03-31
601298.SH,青岛港,0.025,2026-03-31
601318.SH,中国平安,2.491,2026-03-31
601319.SH,中国人保,0.096,2026-03-31
601328.SH,交通银行,0.769,2026-03-31
601336.SH,新华保险,0.211,2026-03-31
601360.SH,三六零,0.154,2026-03-31
601377.SH,兴业证券,0.167,2026-03-31
601390.SH,中国中铁,0.229,2026-03-31
601398.SH,工商银行,1.017,2026-03-31
601456.SH,国联民生,0.059,2026-03-31
601600.SH,中国铝业,0.372,2026-03-31
601601.SH,中国太保,0.522,2026-03-31
601607.SH,上海医药,0.078,2026-03-31
601618.SH,中国中冶,0.088,2026-03-31
601628.SH,中国人寿,0.249,2026-03-31
601633.SH,长城汽车,0.106,2026-03-31
601658.SH,邮储银行,0.233,2026-03-31
601668.SH,中国建筑,0.426,2026-03-31
601669.SH,中国电建,0.203,2026-03-31
601688.SH,华泰证券,0.428,2026-03-31
601689.SH,拓普集团,0.203,2026-03-31
601698.SH,中国卫通,0.115,2026-03-31
601728.SH,中国电信,0.362,2026-03-31
601766.SH,中国中车,0.317,2026-03-31
601788.SH,光大证券,0.123,2026-03-31
601800.SH,中国交建,0.111,2026-03-31
601808.SH,中海油服,0.038,2026-03-31
601816.SH,京沪高铁,0.611,2026-03-31
601818.SH,光大银行,0.245,2026-03-31
601825.SH,沪农商行,0.217,2026-03-31
601838.SH,成都银行,0.179,2026-03-31
601857.SH,中国石油,0.569,2026-03-31
601868.SH,中国能建,0.155,2026-03-31
601872.SH,招商轮船,0.217,2026-03-31
601877.SH,正泰电器,0.144,2026-03-31
601878.SH,浙商证券,0.109,2026-03-31
601881.SH,中国银河,0.114,2026-03-31
601888.SH,中国中免,0.283,2026-03-31
601898.SH,中煤能源,0.13,2026-03-31
601899.SH,紫金矿业,2.218,2026-03-31
601901.SH,方正证券,0.115,2026-03-31
601916.SH,浙商银行,0.186,2026-03-31
601919.SH,中远海控,0.39,2026-03-31
601939.SH,建设银行,0.337,2026-03-31
601985.SH,中国核电,0.306,2026-03-31
601988.SH,中国银行,0.346,2026-03-31
601995.SH,中金公司,0.156,2026-03-31
601998.SH,中信银行,0.181,2026-03-31
603019.SH,中科曙光,0.473,2026-03-31
603195.SH,公牛集团,0.047,2026-03-31
603259.SH,药明康德,0.999,2026-03-31
603260.SH,合盛硅业,0.059,2026-03-31
603288.SH,海天味业,0.282,2026-03-31
603296.SH,华勤技术,0.134,2026-03-31
603369.SH,今世缘,0.082,2026-03-31
603392.SH,万泰生物,0.062,2026-03-31
603501.SH,豪威集团,0.331,2026-03-31
603799.SH,华友钴业,0.367,2026-03-31
603893.SH,瑞芯微,0.132,2026-03-31
603986.SH,兆易创新,0.654,2026-03-31
603993.SH,洛阳钼业,0.616,2026-03-31
605117.SH,德业股份,0.196,2026-03-31
605499.SH,东鹏饮料,0.176,2026-03-31
688008.SH,澜起科技,0.59,2026-03-31
688009.SH,中国通号,0.06,2026-03-31
688012.SH,中微公司,0.553,2026-03-31
688036.SH,传音控股,0.13,2026-03-31
688041.SH,海光信息,0.805,2026-03-31
688047.SH,龙芯中科,0.108,2026-03-31
688082.SH,盛美上海,0.056,2026-03-31
688111.SH,金山办公,0.223,2026-03-31
688126.SH,沪硅产业,0.133,2026-03-31
688169.SH,石头科技,0.102,2026-03-31
688187.SH,时代电气,0.056,2026-03-31
688223.SH,晶科能源,0.107,2026-03-31
688256.SH,寒武纪,0.853,2026-03-31
688271.SH,联影医疗,0.228,2026-03-31
688303.SH,大全能源,0.056,2026-03-31
688396.SH,华润微,0.097,2026-03-31
688472.SH,阿特斯,0.078,2026-03-31
688506.SH,百利天恒,0.094,2026-03-31
688981.SH,中芯国际,0.774,2026-03-31
