date,open,high,low,close,volume,amount,turnover,outstanding_share,ticker,adj_factor,market_cap,is_suspended,is_limit_up,is_limit_down,can_buy,can_sell
2021-01-04,26.3,27.13,26.22,26.79,26089684.0,711488730.0,0.01796186359501392,1452504294.0,000977.SZ,1.0,38912590036.26,False,False,False,True,True
2021-01-05,26.51,27.45,26.46,27.29,31562112.0,870846571.0,0.02172944488383041,1452504294.0,000977.SZ,1.0,39638842183.26,False,False,False,True,True
2021-01-06,27.31,27.4,26.52,26.67,23373554.0,638135555.0,0.016091900104220964,1452504294.0,000977.SZ,1.0,38738289520.98,False,False,False,True,True
2021-01-07,26.61,26.79,25.58,26.06,30558000.0,811766002.0,0.021038147788084955,1452504294.0,000977.SZ,1.0,37852261901.64,False,False,False,True,True
2021-01-08,25.87,28.67,25.87,28.67,68537945.0,1966182491.0,0.047186053275791555,1452504294.0,000977.SZ,1.0,41643298108.98,False,True,False,False,True
2021-01-11,29.39,30.18,28.53,29.61,104342382.0,3138148169.0,0.07183619520507938,1452504294.0,000977.SZ,1.0,43008652145.34,False,False,False,True,True
2021-01-12,29.25,30.01,29.13,29.84,54960452.0,1660053934.0,0.03783840930937723,1452504294.0,000977.SZ,1.0,43342728132.96,False,False,False,True,True
2021-01-13,29.67,31.16,29.42,30.23,61509335.0,1897591666.0,0.042347093398678794,1452504294.0,000977.SZ,1.0,43909204807.62,False,False,False,True,True
2021-01-14,29.93,31.54,29.52,30.84,67303156.0,2105053499.0,0.04633594288017988,1452504294.0,000977.SZ,1.0,44795232426.96,False,False,False,True,True
2021-01-15,30.7,30.71,29.17,29.34,55431193.0,1680496662.0,0.03816249854060672,1452504294.0,000977.SZ,1.0,42616475985.96,False,False,False,True,True
2021-01-18,29.33,30.72,29.05,30.3,46526164.0,1420323843.0,0.03203168774935133,1452504294.0,000977.SZ,1.0,44010880108.200005,False,False,False,True,True
2021-01-19,29.94,30.51,29.59,29.82,35129665.0,1071300119.0,0.024185584266506823,1452504294.0,000977.SZ,1.0,43313678047.08,False,False,False,True,True
2021-01-20,29.75,30.08,29.36,29.52,23947348.0,722955025.0,0.016486937834828873,1452504294.0,000977.SZ,1.0,42877926758.88,False,False,False,True,True
2021-01-21,29.52,30.26,29.46,29.91,35995520.0,1093176583.0,0.0247816961014781,1452504294.0,000977.SZ,1.0,43444403433.54,False,False,False,True,True
2021-01-22,29.69,29.73,28.2,28.71,45821197.0,1342588062.0,0.03154634185198491,1452504294.0,000977.SZ,1.0,41701398280.74,False,False,False,True,True
2021-01-25,28.46,29.28,27.68,28.87,38784984.0,1127117245.0,0.02670214756693862,1452504294.0,000977.SZ,1.0,41933798967.78,False,False,False,True,True
2021-01-26,28.86,29.11,27.77,27.86,28776534.0,829989764.0,0.01981166879772405,1452504294.0,000977.SZ,1.0,40466769630.84,False,False,False,True,True
2021-01-27,27.87,28.05,26.46,26.7,40303933.0,1110872737.0,0.027747892496075472,1452504294.0,000977.SZ,1.0,38781864649.799995,False,False,False,True,True
2021-01-28,26.3,26.81,25.64,25.71,27856707.0,742598750.0,0.019178399069159652,1452504294.0,000977.SZ,1.0,37343885398.74,False,False,False,True,True
2021-01-29,25.98,26.01,24.91,25.47,27130133.0,703293658.0,0.018678177484272553,1452504294.0,000977.SZ,1.0,36995284368.18,False,False,False,True,True
2021-02-01,27.48,28.02,27.15,28.02,21631101.0,613386950.0,0.014892280242718511,1452504294.0,000977.SZ,1.0,40699170317.88,False,True,False,False,True
2021-02-02,29.44,30.83,28.57,30.83,137422560.0,4215848833.0,0.09461077710245998,1452504294.0,000977.SZ,1.0,44780707384.02,False,True,False,False,True
2021-02-03,31.4,31.41,30.13,30.23,95665914.0,2999648210.0,0.06586274091937383,1452504294.0,000977.SZ,1.0,43909204807.62,False,False,False,True,True
2021-02-04,30.92,31.01,28.64,29.43,71429905.0,2137714152.0,0.04917706976499995,1452504294.0,000977.SZ,1.0,42747201372.42,False,False,False,True,True
2021-02-05,29.16,29.6,28.07,28.07,47615000.0,1387978576.0,0.032781314448905856,1452504294.0,000977.SZ,1.0,40771795532.58,False,False,False,True,True
2021-02-08,28.37,30.54,28.16,29.95,65111471.0,1962588334.0,0.04482704200528856,1452504294.0,000977.SZ,1.0,43502503605.299995,False,False,False,True,True
2021-02-09,29.87,30.54,29.6,30.33,49996561.0,1538428714.0,0.03442093851737694,1452504294.0,000977.SZ,1.0,44054455237.02,False,False,False,True,True
2021-02-10,30.21,30.59,29.85,30.07,38956955.0,1197636179.0,0.02682054377458522,1452504294.0,000977.SZ,1.0,43676804120.58,False,False,False,True,True
