date,open,high,low,close,volume,amount,turnover,outstanding_share,ticker,adj_factor,market_cap,is_suspended,is_limit_up,is_limit_down,can_buy,can_sell
2021-01-04,106.59,110.96,105.74,106.46,7730288.0,887938406.0,0.005921958693387265,1305360000.0,601100.SH,1.0,138968625600.0,False,False,False,True,True
2021-01-05,105.45,110.83,104.21,110.72,6881393.0,783540742.0,0.005271643837715266,1305360000.0,601100.SH,1.0,144529459200.0,False,False,False,True,True
2021-01-06,110.26,115.41,109.49,114.88,8535390.0,1027324915.0,0.006538724949439235,1305360000.0,601100.SH,1.0,149959756800.0,False,False,False,True,True
2021-01-07,115.75,126.37,114.92,124.8,8025578.0,1020780271.0,0.006148172151743581,1305360000.0,601100.SH,1.0,162908928000.0,False,False,False,True,True
2021-01-08,126.79,129.73,118.56,119.8,12018169.0,1552485253.0,0.009206785101427958,1305360000.0,601100.SH,1.0,156382128000.0,False,False,False,True,True
2021-01-11,119.8,124.87,116.86,117.19,10953741.0,1391830337.0,0.008391356407427835,1305360000.0,601100.SH,1.0,152975138400.0,False,False,False,True,True
2021-01-12,114.97,124.28,111.52,123.77,12418923.0,1562987388.0,0.009513791597720169,1305360000.0,601100.SH,1.0,161564407200.0,False,False,False,True,True
2021-01-13,123.66,127.22,120.67,122.84,8289521.0,1089850497.0,0.006350371545014402,1305360000.0,601100.SH,1.0,160350422400.0,False,False,False,True,True
2021-01-14,122.42,122.63,114.37,114.41,8421588.0,1049977519.0,0.006451544401544402,1305360000.0,601100.SH,1.0,149346237600.0,False,False,False,True,True
2021-01-15,113.18,117.3,109.0,114.19,9977643.0,1196616959.0,0.0076435948703805845,1305360000.0,601100.SH,1.0,149059058400.0,False,False,False,True,True
2021-01-18,114.03,117.48,109.94,116.99,6109763.0,748483258.0,0.004680519550162407,1305360000.0,601100.SH,1.0,152714066400.0,False,False,False,True,True
2021-01-19,116.85,116.85,108.94,109.97,11515943.0,1363933309.0,0.00882204372740087,1305360000.0,601100.SH,1.0,143550439200.0,False,False,False,True,True
2021-01-20,108.49,111.11,106.82,109.55,10399065.0,1207412775.0,0.00796643454679169,1305360000.0,601100.SH,1.0,143002188000.0,False,False,False,True,True
2021-01-21,110.1,113.65,110.03,110.97,8767909.0,1037843419.0,0.006716851290065576,1305360000.0,601100.SH,1.0,144855799200.0,False,False,False,True,True
2021-01-22,114.52,120.63,114.52,118.41,12064413.0,1505101828.0,0.009242211343997058,1305360000.0,601100.SH,1.0,154567677600.0,False,False,False,True,True
2021-01-25,118.86,122.51,116.35,118.74,10985131.0,1396977770.0,0.0084154034136177,1305360000.0,601100.SH,1.0,154998446400.0,False,False,False,True,True
2021-01-26,118.74,119.35,113.12,115.13,8378097.0,1025105662.0,0.0064182271557271554,1305360000.0,601100.SH,1.0,150286096800.0,False,False,False,True,True
2021-01-27,115.76,117.15,111.73,114.36,6674788.0,806453236.0,0.005113369491940921,1305360000.0,601100.SH,1.0,149280969600.0,False,False,False,True,True
2021-01-28,112.0,112.6,107.3,108.36,8536926.0,990089937.0,0.006539901636330208,1305360000.0,601100.SH,1.0,141448809600.0,False,False,False,True,True
2021-01-29,109.5,113.03,108.42,110.42,7633887.0,896181895.0,0.005848108567751425,1305360000.0,601100.SH,1.0,144137851200.0,False,False,False,True,True
2021-02-01,110.12,112.03,107.34,111.44,7146632.0,835684585.0,0.005474836060550346,1305360000.0,601100.SH,1.0,145469318400.0,False,False,False,True,True
2021-02-02,111.99,115.91,111.99,115.05,8526902.0,1034347553.0,0.0065322225286511,1305360000.0,601100.SH,1.0,150181668000.0,False,False,False,True,True
2021-02-03,116.25,117.33,113.26,113.56,6730021.0,823873252.0,0.005155681957467672,1305360000.0,601100.SH,1.0,148236681600.0,False,False,False,True,True
2021-02-04,112.39,114.65,111.71,113.8,5166742.0,621513511.0,0.0039580973830973835,1305360000.0,601100.SH,1.0,148549968000.0,False,False,False,True,True
2021-02-05,114.43,117.16,112.62,115.39,6595071.0,809414150.0,0.005052300514800515,1305360000.0,601100.SH,1.0,150625490400.0,False,False,False,True,True
2021-02-08,116.05,118.74,108.9,118.74,11623087.0,1422073733.0,0.008904123766623766,1305360000.0,601100.SH,1.0,154998446400.0,False,False,False,True,True
2021-02-09,117.8,122.02,117.67,119.15,9070993.0,1154763355.0,0.006949035515106943,1305360000.0,601100.SH,1.0,155533644000.0,False,False,False,True,True
2021-02-10,120.34,120.99,116.85,119.91,7913206.0,1000291459.0,0.006062087087087087,1305360000.0,601100.SH,1.0,156525717600.0,False,False,False,True,True
2021-02-18,122.9,123.73,115.26,116.14,9860555.0,1253880521.0,0.0075538970092541525,1305360000.0,601100.SH,1.0,151604510400.0,False,False,False,True,True
2021-02-19,115.91,115.91,107.11,107.89,13146581.0,1526190857.0,0.010071230158730158,1305360000.0,601100.SH,1.0,140835290400.0,False,False,False,True,True
2021-02-22,107.43,107.43,97.1,97.15,18553850.0,1975703996.0,0.014213588588588589,1305360000.0,601100.SH,1.0,126815724000.0,False,False,True,True,False
2021-02-23,95.06,100.36,93.31,98.2,10537434.0,1096961096.0,0.008072435190292333,1305360000.0,601100.SH,1.0,128186352000.0,False,False,False,True,True
2021-02-24,99.19,99.28,92.67,93.86,9684612.0,976511805.0,0.007419111969111969,1305360000.0,601100.SH,1.0,122521089600.0,False,False,False,True,True
2021-02-25,94.69,95.18,91.7,92.87,7993596.0,793075646.0,0.006123671630814488,1305360000.0,601100.SH,1.0,121228783200.0,False,False,False,True,True
2021-02-26,90.78,92.82,87.75,89.53,12447230.0,1189343827.0,0.009535476803333946,1305360000.0,601100.SH,1.0,116868880800.0,False,False,False,True,True
2021-03-01,91.57,93.11,89.08,92.64,8502388.0,824692870.0,0.006513443034871606,1305360000.0,601100.SH,1.0,120928550400.0,False,False,False,True,True
2021-03-02,93.68,96.12,92.07,93.75,10562081.0,1053955236.0,0.008091316571673715,1305360000.0,601100.SH,1.0,122377500000.0,False,False,False,True,True
2021-03-03,92.64,93.73,90.82,92.59,6277023.0,615539495.0,0.0048086527854385,1305360000.0,601100.SH,1.0,120863282400.0,False,False,False,True,True
2021-03-04,91.14,91.78,85.41,86.14,13217308.0,1222975830.0,0.010125412146840719,1305360000.0,601100.SH,1.0,112443710400.0,False,False,False,True,True
2021-03-05,83.21,88.3,82.48,87.36,12150350.0,1100902884.0,0.009308045290188147,1305360000.0,601100.SH,1.0,114036249600.0,False,False,False,True,True
2021-03-08,86.71,87.52,80.21,81.14,11066962.0,982055272.0,0.008478091867377581,1305360000.0,601100.SH,1.0,105916910400.0,False,False,False,True,True
2021-03-09,80.82,84.72,75.47,82.55,14439932.0,1229023421.0,0.011062030397744683,1305360000.0,601100.SH,1.0,107757468000.0,False,False,False,True,True
2021-03-10,83.88,85.95,83.74,85.54,10149106.0,917304452.0,0.007774947907090764,1305360000.0,601100.SH,1.0,111660494400.00002,False,False,False,True,True
2021-03-11,85.05,86.23,83.78,84.73,8412864.0,757408515.0,0.006444861187718331,1305360000.0,601100.SH,1.0,110603152800.0,False,False,False,True,True
2021-03-12,84.82,85.32,80.17,82.85,9406113.0,822056792.0,0.0072057616289759145,1305360000.0,601100.SH,1.0,108149076000.0,False,False,False,True,True
2021-03-15,82.3,82.8,78.34,79.07,7569021.0,644002511.0,0.005798416528773671,1305360000.0,601100.SH,1.0,103214815199.99998,False,False,False,True,True
2021-03-16,81.41,81.41,78.75,79.38,5429313.0,459522012.0,0.004159245725317154,1305360000.0,601100.SH,1.0,103619476800.0,False,False,False,True,True
2021-03-17,80.06,83.87,78.69,83.5,8348928.0,727467510.0,0.006395881595881596,1305360000.0,601100.SH,1.0,108997560000.0,False,False,False,True,True
2021-03-18,83.1,87.27,83.1,86.91,7355881.0,673865376.0,0.0056351359012073296,1305360000.0,601100.SH,1.0,113448837600.0,False,False,False,True,True
2021-03-19,84.82,85.99,80.68,80.88,8917072.0,782796364.0,0.006831120916835203,1305360000.0,601100.SH,1.0,105577516800.0,False,False,False,True,True
2021-03-22,81.96,84.34,80.86,81.08,6189546.0,540233326.0,0.00474163908806766,1305360000.0,601100.SH,1.0,105838588800.0,False,False,False,True,True
2021-03-23,81.22,82.11,79.61,81.05,5173619.0,442117613.0,0.003963365661579947,1305360000.0,601100.SH,1.0,105799428000.0,False,False,False,True,True
2021-03-24,81.05,81.33,78.46,78.86,4947053.0,417074430.0,0.00378979974872832,1305360000.0,601100.SH,1.0,102940689600.0,False,False,False,True,True
2021-03-25,77.28,84.7,76.63,84.03,10078046.0,876438369.0,0.007720510816939388,1305360000.0,601100.SH,1.0,109689400800.0,False,False,False,True,True
2021-03-26,84.34,84.62,80.77,84.04,10830585.0,956548392.0,0.008297010020224305,1305360000.0,601100.SH,1.0,109702454400.00002,False,False,False,True,True
2021-03-29,84.16,86.92,83.52,85.9,7956840.0,722843126.0,0.006095513881228167,1305360000.0,601100.SH,1.0,112130424000.0,False,False,False,True,True
2021-03-30,86.42,87.17,84.7,86.43,5433274.0,497730301.0,0.004162280137280137,1305360000.0,601100.SH,1.0,112822264800.00002,False,False,False,True,True
2021-03-31,86.69,86.72,83.97,84.3,4722204.0,424839473.0,0.003617549181834896,1305360000.0,601100.SH,1.0,110041848000.0,False,False,False,True,True
2021-04-01,83.96,85.87,83.96,84.41,4098303.0,368247074.0,0.003139595973524545,1305360000.0,601100.SH,1.0,110185437600.0,False,False,False,True,True
2021-04-02,84.82,87.16,84.44,86.68,5251878.0,480494181.0,0.004023317705460563,1305360000.0,601100.SH,1.0,113148604800.00002,False,False,False,True,True
2021-04-06,86.73,87.55,84.11,84.36,5214441.0,471524959.0,0.003994638260709689,1305360000.0,601100.SH,1.0,110120169600.0,False,False,False,True,True
2021-04-07,84.05,84.42,80.45,81.23,8287891.0,715598633.0,0.006349122847337133,1305360000.0,601100.SH,1.0,106034392800.0,False,False,False,True,True
2021-04-08,80.79,86.6,80.57,85.45,9800639.0,880110582.0,0.007507997027639885,1305360000.0,601100.SH,1.0,111543012000.0,False,False,False,True,True
2021-04-09,85.95,86.14,81.65,81.94,6085113.0,534833532.0,0.004661635870564442,1305360000.0,601100.SH,1.0,106961198400.0,False,False,False,True,True
2021-04-12,81.8,83.68,78.13,78.69,7347140.0,622452733.0,0.0056284396641539496,1305360000.0,601100.SH,1.0,102718778400.0,False,False,False,True,True
2021-04-13,78.69,80.28,78.28,78.81,5221559.0,437427333.0,0.004000091162591163,1305360000.0,601100.SH,1.0,102875421600.0,False,False,False,True,True
2021-04-14,78.22,78.9,76.34,78.45,7666683.0,632860585.0,0.005873232671446957,1305360000.0,601100.SH,1.0,102405492000.0,False,False,False,True,True
2021-04-15,79.52,80.48,77.98,80.14,5930657.0,499409812.0,0.004543311423668567,1305360000.0,601100.SH,1.0,104611550400.0,False,False,False,True,True
2021-04-16,81.44,81.52,78.28,78.8,5009984.0,419941194.0,0.003838009438009438,1305360000.0,601100.SH,1.0,102862368000.0,False,False,False,True,True
2021-04-19,78.69,81.05,77.94,80.57,5316376.0,451653466.0,0.004072727829870687,1305360000.0,601100.SH,1.0,105172855199.99998,False,False,False,True,True
2021-04-20,80.35,84.06,79.99,82.87,8398124.0,739471209.0,0.006433569283569284,1305360000.0,601100.SH,1.0,108175183200.0,False,False,False,True,True
2021-04-21,82.37,83.96,80.68,83.12,5635591.0,495092992.0,0.004317269565483851,1305360000.0,601100.SH,1.0,108501523200.0,False,False,False,True,True
