date,open,high,low,close,volume,amount,turnover,outstanding_share,ticker,adj_factor,market_cap,is_suspended,is_limit_up,is_limit_down,can_buy,can_sell
2021-01-04,90.11,95.1,89.5,92.93,8366918.0,856831959.0,0.01202292611555552,695913616.9999999,600600.SH,1.0,64671252427.80999,False,False,False,True,True
2021-01-05,92.93,98.65,92.32,97.94,7857777.0,837899857.0,0.011291310886937281,695913616.9999999,600600.SH,1.0,68157779648.97999,False,False,False,True,True
2021-01-06,97.58,98.9,95.04,98.8,7223313.0,773477905.0,0.010379611525836836,695913616.9999999,600600.SH,1.0,68756265359.59999,False,False,False,True,True
2021-01-07,98.81,100.39,97.04,99.4,6623496.0,719782816.0,0.009517698516308815,695913616.9999999,600600.SH,1.0,69173813529.79999,False,False,False,True,True
2021-01-08,98.87,100.02,94.22,96.58,8237799.0,875464063.0,0.011837387283082867,695913616.9999999,600600.SH,1.0,67211337129.859985,False,False,False,True,True
2021-01-11,96.21,96.62,92.41,94.76,6782876.0,710382653.0,0.009746721193989802,695913616.9999999,600600.SH,1.0,65944774346.91999,False,False,False,True,True
2021-01-12,94.25,97.61,94.05,94.75,6345229.0,666809647.0,0.009117839980418145,695913616.9999999,600600.SH,1.0,65937815210.74999,False,False,False,True,True
2021-01-13,96.55,96.58,90.66,91.14,8328958.0,855622871.0,0.011968379115651075,695913616.9999999,600600.SH,1.0,63425567053.37999,False,False,False,True,True
2021-01-14,91.9,92.03,86.87,87.94,7909675.0,768945647.0,0.011365886234699156,695913616.9999999,600600.SH,1.0,61198643478.97999,False,False,False,True,True
2021-01-15,86.61,86.65,82.52,84.45,10616243.0,986247044.0,0.015255116067085094,695913616.9999999,600600.SH,1.0,58769904955.649994,False,False,False,True,True
2021-01-18,84.34,85.67,82.35,83.38,8105412.0,747887181.0,0.011647152465476188,695913616.9999999,600600.SH,1.0,58025277385.459984,False,False,False,True,True
2021-01-19,83.37,84.29,79.51,79.8,12086451.0,1080742813.0,0.017367746089095425,695913616.9999999,600600.SH,1.0,55533906636.59999,False,False,False,True,True
2021-01-20,79.8,83.43,78.44,82.22,14667711.0,1310741050.0,0.021076913343398486,695913616.9999999,600600.SH,1.0,57218017589.73999,False,False,False,True,True
2021-01-21,82.22,82.85,80.1,82.23,13486059.0,1214141256.0,0.019378926738259243,695913616.9999999,600600.SH,1.0,57224976725.909996,False,False,False,True,True
2021-01-22,82.23,86.51,82.21,84.73,10272634.0,959855801.0,0.01476136369379305,695913616.9999999,600600.SH,1.0,58964760768.409996,False,False,False,True,True
2021-01-25,84.73,88.47,84.34,87.96,8684473.0,835412303.0,0.012479239934171315,695913616.9999999,600600.SH,1.0,61212561751.319984,False,False,False,True,True
2021-01-26,87.97,88.37,84.92,87.2,6611922.0,632256172.0,0.00950106714178579,695913616.9999999,600600.SH,1.0,60683667402.399994,False,False,False,True,True
2021-01-27,85.94,86.5,81.98,84.18,9243184.0,854299930.0,0.013282085267775414,695913616.9999999,600600.SH,1.0,58582008279.06,False,False,False,True,True
2021-01-28,82.5,83.44,79.96,80.27,9046846.0,809878167.0,0.012999955424065228,695913616.9999999,600600.SH,1.0,55860986036.58999,False,False,False,True,True
2021-01-29,80.77,83.23,79.8,80.52,7809773.0,699855449.0,0.011222331061241472,695913616.9999999,600600.SH,1.0,56034964440.83999,False,False,False,True,True
2021-02-01,80.92,85.79,80.92,85.7,8648686.0,805173460.0,0.01242781544824981,695913616.9999999,600600.SH,1.0,59639796976.899994,False,False,False,True,True
2021-02-02,86.04,88.28,84.79,87.87,6947293.0,666600526.0,0.0099829818389658,695913616.9999999,600600.SH,1.0,61149929525.78999,False,False,False,True,True
2021-02-03,87.42,90.42,87.16,87.96,6349398.0,620436928.0,0.00912383066647193,695913616.9999999,600600.SH,1.0,61212561751.319984,False,False,False,True,True
2021-02-04,86.69,89.22,84.95,86.18,7478619.0,715760149.0,0.010746476024193102,695913616.9999999,600600.SH,1.0,59973835513.06,False,False,False,True,True
2021-02-05,86.45,90.5,84.52,88.63,9840068.0,960930441.0,0.014139783673754442,695913616.9999999,600600.SH,1.0,61678823874.709984,False,False,False,True,True
2021-02-08,88.6,89.1,84.05,85.41,11509785.0,1083797672.0,0.01653910013949332,695913616.9999999,600600.SH,1.0,59437982027.969986,False,False,False,True,True
2021-02-09,84.34,89.25,83.75,88.02,7683823.0,740717147.0,0.011041345954867271,695913616.9999999,600600.SH,1.0,61254316568.33999,False,False,False,True,True
2021-02-10,88.26,88.74,86.13,86.86,10214324.0,980713179.0,0.014677574558797578,695913616.9999999,600600.SH,1.0,60447056772.61999,False,False,False,True,True
2021-02-18,87.76,87.76,82.79,83.36,9324369.0,867010152.0,0.01339874486174913,695913616.9999999,600600.SH,1.0,58011359113.11999,False,False,False,True,True
2021-02-19,83.45,84.23,79.86,82.52,8199051.0,739870382.0,0.011781707958733621,695913616.9999999,600600.SH,1.0,57426791674.83999,False,False,False,True,True
2021-02-22,82.61,82.7,79.9,80.89,9806420.0,872921930.0,0.014091432845177394,695913616.9999999,600600.SH,1.0,56292452479.12999,False,False,False,True,True
2021-02-23,79.8,80.06,77.42,79.08,10842772.0,941639437.0,0.01558062916880674,695913616.9999999,600600.SH,1.0,55032848832.35999,False,False,False,True,True
2021-02-24,79.44,79.68,74.45,76.43,13900698.0,1169414845.0,0.019974746377178595,695913616.9999999,600600.SH,1.0,53188677747.31,False,False,False,True,True
2021-02-25,76.08,76.94,74.16,74.25,9094710.0,753069827.0,0.01306873407536729,695913616.9999999,600600.SH,1.0,51671586062.24999,False,False,False,True,True
2021-02-26,73.25,73.25,70.19,72.21,10286125.0,817279251.0,0.014780749720550448,695913616.9999999,600600.SH,1.0,50251922283.569984,False,False,False,True,True
2021-03-01,72.53,72.82,70.55,71.81,10770510.0,853232183.0,0.015476791568514461,695913616.9999999,600600.SH,1.0,49973556836.77,False,False,False,True,True
2021-03-02,72.54,73.82,70.46,70.8,11546444.0,917975884.0,0.016591777654495876,695913616.9999999,600600.SH,1.0,49270684083.59999,False,False,False,True,True
2021-03-03,70.7,71.5,69.92,71.37,9760110.0,762978185.0,0.01402488722964592,695913616.9999999,600600.SH,1.0,49667354845.28999,False,False,False,True,True
2021-03-04,70.73,70.73,68.45,68.89,9596383.0,732377723.0,0.013789618087039102,695913616.9999999,600600.SH,1.0,47941489075.12999,False,False,False,True,True
2021-03-05,67.79,70.52,66.2,69.74,7025857.0,535343275.0,0.010095875160896588,695913616.9999999,600600.SH,1.0,48533015649.57999,False,False,False,True,True
2021-03-08,71.17,72.69,68.92,69.05,12870801.0,1007282386.0,0.018494825630060927,695913616.9999999,600600.SH,1.0,48052835253.84999,False,False,False,True,True
2021-03-09,69.1,70.08,65.71,68.03,9383538.0,705429386.0,0.013483768345346233,695913616.9999999,600600.SH,1.0,47343003364.509995,False,False,False,True,True
2021-03-10,70.29,70.37,67.14,67.79,7892723.0,594819662.0,0.01134152688953635,695913616.9999999,600600.SH,1.0,47175984096.42999,False,False,False,True,True
2021-03-11,67.53,71.62,66.65,71.15,10092273.0,778267311.0,0.014502192159289221,695913616.9999999,600600.SH,1.0,49514253849.549995,False,False,False,True,True
2021-03-12,71.28,71.55,68.01,69.83,6671168.0,511977036.0,0.009586201271299454,695913616.9999999,600600.SH,1.0,48595647875.10999,False,False,False,True,True
2021-03-15,69.52,69.59,66.45,67.21,7361922.0,547703783.0,0.010578787108285598,695913616.9999999,600600.SH,1.0,46772354198.569984,False,False,False,True,True
2021-03-16,67.4,68.64,66.82,68.16,6363072.0,475568872.0,0.009143479656901154,695913616.9999999,600600.SH,1.0,47433472134.719986,False,False,False,True,True
2021-03-17,68.1,71.16,67.2,70.91,9058324.0,700324303.0,0.01301644885043254,695913616.9999999,600600.SH,1.0,49347234581.469986,False,False,False,True,True
2021-03-18,70.62,74.36,70.37,73.23,10598569.0,854458906.0,0.015229719236834536,695913616.9999999,600600.SH,1.0,50961754172.909996,False,False,False,True,True
2021-03-19,71.81,74.18,71.68,72.29,5902755.0,474943965.0,0.008482022561142099,695913616.9999999,600600.SH,1.0,50307595372.92999,False,False,False,True,True
2021-03-22,72.26,73.45,70.52,71.47,5127130.0,404981903.0,0.00736748049578688,695913616.9999999,600600.SH,1.0,49736946206.98999,False,False,False,True,True
2021-03-23,71.24,73.25,70.43,72.37,6207585.0,493495329.0,0.00892005106432628,695913616.9999999,600600.SH,1.0,50363268462.28999,False,False,False,True,True
2021-03-24,72.09,73.53,71.16,71.59,6768964.0,540092682.0,0.009726730207091208,695913616.9999999,600600.SH,1.0,49820455841.02999,False,False,False,True,True
2021-03-25,70.69,73.23,69.54,72.5,5056748.0,400843530.0,0.007266344380210627,695913616.9999999,600600.SH,1.0,50453737232.49999,False,False,False,True,True
2021-03-26,72.55,75.16,72.27,73.91,8545686.0,695444892.0,0.012279808572850503,695913616.9999999,600600.SH,1.0,51434975432.469986,False,False,False,True,True
2021-03-29,74.18,77.54,73.45,75.99,10473265.0,876281747.0,0.015049662406591481,695913616.9999999,600600.SH,1.0,52882475755.82999,False,False,False,True,True
2021-03-30,75.9,77.69,75.17,75.99,6324783.0,532739370.0,0.009088459897171405,695913616.9999999,600600.SH,1.0,52882475755.82999,False,False,False,True,True
2021-03-31,75.63,76.87,74.37,76.75,5682311.0,475923196.0,0.008165253360748652,695913616.9999999,600600.SH,1.0,53411370104.74999,False,False,False,True,True
2021-04-01,76.75,76.95,75.6,76.56,3439557.0,288911300.0,0.004942505673085573,695913616.9999999,600600.SH,1.0,53279146517.51999,False,False,False,True,True
2021-04-02,76.99,77.61,76.08,76.56,3889543.0,329471227.0,0.005589117535546083,695913616.9999999,600600.SH,1.0,53279146517.51999,False,False,False,True,True
2021-04-06,76.76,77.2,74.95,76.13,4506130.0,377368100.0,0.006475128363525039,695913616.9999999,600600.SH,1.0,52979903662.20999,False,False,False,True,True
2021-04-07,76.02,76.51,73.4,74.94,5734920.0,471877919.0,0.00824085038703877,695913616.9999999,600600.SH,1.0,52151766457.97999,False,False,False,True,True
