date,open,high,low,close,volume,amount,turnover,outstanding_share,ticker,adj_factor,market_cap,is_suspended,is_limit_up,is_limit_down,can_buy,can_sell
2021-01-04,81.57,85.98,81.3,85.02,20779108.0,1938645348.0,0.01459456667454395,1423756420.0,600309.SH,1.0,121047770828.4,False,False,False,True,True
2021-01-05,84.73,89.24,84.23,88.18,24627077.0,2378965761.0,0.01729725439973784,1423756420.0,600309.SH,1.0,125546841115.6,False,False,False,True,True
2021-01-06,88.25,90.54,86.62,88.9,20736405.0,2039655420.0,0.014564573482309565,1423756420.0,600309.SH,1.0,126571945738.00002,False,False,False,True,True
2021-01-07,93.76,97.79,92.67,96.64,55305421.0,5893180165.0,0.03884472106541932,1423756420.0,600309.SH,1.0,137591820428.8,False,False,False,True,True
2021-01-08,96.65,98.98,96.38,98.46,28583705.0,3088863128.0,0.02007626065700199,1423756420.0,600309.SH,1.0,140183057113.19998,False,False,False,True,True
2021-01-11,98.43,100.42,96.04,98.16,24837309.0,2712871154.0,0.017444914488954508,1423756420.0,600309.SH,1.0,139755930187.19998,False,False,False,True,True
2021-01-12,97.13,102.79,96.81,102.08,25284811.0,2804848806.0,0.017759225275345906,1423756420.0,600309.SH,1.0,145337055353.6,False,False,False,True,True
2021-01-13,102.84,106.75,101.17,102.69,25014992.0,2879791547.0,0.01756971322383923,1423756420.0,600309.SH,1.0,146205546769.8,False,False,False,True,True
2021-01-14,100.77,102.59,98.11,99.04,23226723.0,2569565701.0,0.01631369149506627,1423756420.0,600309.SH,1.0,141008835836.80002,False,False,False,True,True
2021-01-15,99.9,100.23,94.84,97.28,21945295.0,2359701186.0,0.015413658327876056,1423756420.0,600309.SH,1.0,138503024537.6,False,False,False,True,True
2021-01-18,97.82,100.98,95.88,99.18,19395570.0,2125975528.0,0.013622814778949338,1423756420.0,600309.SH,1.0,141208161735.6,False,False,False,True,True
2021-01-19,99.28,101.36,95.75,97.09,19254043.0,2089901480.0,0.013523410837367814,1423756420.0,600309.SH,1.0,138232510817.80002,False,False,False,True,True
2021-01-20,98.01,100.46,97.64,99.32,13910116.0,1530773576.0,0.00977001108096847,1423756420.0,600309.SH,1.0,141407487634.4,False,False,False,True,True
2021-01-21,100.44,105.41,99.8,102.47,24393412.0,2788167982.0,0.0171331357367997,1423756420.0,600309.SH,1.0,145892320357.4,False,False,False,True,True
