,turnover
2021-01-29,0.5
2021-02-26,0.7
2021-03-31,0.7
2021-04-30,0.5
2021-05-31,0.6
2021-06-30,0.5666666666666667
2021-07-30,0.6
2021-08-31,0.5333333333333333
2021-09-30,0.5
2021-10-29,0.5333333333333333
2021-11-30,0.5333333333333333
2021-12-31,0.43333333333333335
2022-01-31,0.5
2022-02-28,0.5
2022-03-31,0.5333333333333333
2022-04-29,0.6333333333333333
2022-05-31,0.5333333333333333
2022-06-30,0.5666666666666667
2022-07-29,0.5
2022-08-31,0.5
2022-09-30,0.5333333333333333
2022-10-31,0.5
2022-11-30,0.5
2022-12-30,0.4666666666666667
2023-01-31,0.6333333333333333
2023-02-28,0.6333333333333333
2023-03-31,0.5333333333333333
2023-04-28,0.6
2023-05-31,0.5333333333333334
2023-06-30,0.5666666666666667
2023-07-31,0.5666666666666667
2023-08-31,0.4666666666666667
2023-09-29,0.6666666666666667
2023-10-31,0.4666666666666667
2023-11-30,0.5333333333333333
2023-12-29,0.43333333333333335
2024-01-31,0.6
2024-02-29,0.5333333333333333
2024-03-29,0.5666666666666667
2024-04-30,0.5333333333333333
2024-05-31,0.6666666666666666
2024-06-28,0.5
2024-07-31,0.43333333333333335
2024-08-30,0.5333333333333333
2024-09-30,0.43333333333333335
2024-10-31,0.4666666666666667
2024-11-29,0.5
2024-12-31,0.5666666666666667
