,total_return,annual_return,annual_volatility,sharpe,max_drawdown,win_rate,avg_turnover,benchmark_total_return,benchmark_annual_return,excess_annual_return,tracking_error,information_ratio,beta,alpha
p0_fix,0.7212249872878624,0.1516814981399403,0.1556461772942758,0.974527616268792,-0.170953149195275,0.4974200206398348,0.4958333333333333,0.4245797327720713,0.0963975948890194,0.0552839032509209,0.09452953769534,0.5848320493124153,0.7365210165558496,0.0736390785339376
top_n_20,0.9076159606620748,0.1828917809105403,0.1590669472428755,1.14977865660103,-0.1494969900999334,0.4974200206398348,0.59375,0.4245797327720713,0.0963975948890194,0.0864941860215209,0.1077043425364236,0.8030705539311954,0.7120123411319591,0.1035746042918516
top_n_25,0.7751964209337951,0.1609659988251677,0.1574371320550981,1.0224144502888597,-0.1533336751556941,0.4912280701754385,0.5704166666666667,0.4245797327720713,0.0963975948890194,0.0645684039361482,0.1032811385025448,0.6251713030308753,0.718454869000645,0.0839011691434563
top_n_40,0.7212249872878624,0.1516814981399403,0.1556461772942758,0.974527616268792,-0.170953149195275,0.4974200206398348,0.4958333333333333,0.4245797327720713,0.0963975948890194,0.0552839032509209,0.09452953769534,0.5848320493124153,0.7365210165558496,0.0736390785339376
rebalance_wfri,0.633504769057835,0.1361207767845071,0.1565162811224321,0.8696908449928547,-0.1741727489585709,0.4901960784313725,0.2362745098039216,0.4245797327720713,0.0963975948890194,0.0397231818954877,0.0939119984049022,0.4229830327347625,0.7425096707959655,0.0595153008297711
weighting_score,0.7559735791680489,0.1576834226201249,0.1559092048041314,1.0113798144132822,-0.1661531482953983,0.4943240454076367,0.5133445005331523,0.4245797327720713,0.0963975948890194,0.0612858277311054,0.0961085106603524,0.6376732644176499,0.7331396829416783,0.0792450893469462
benchmark_000300,0.7212249872878622,0.1516814981399403,0.1556461772942758,0.974527616268792,-0.170953149195275,0.4974200206398348,0.4958333333333333,-0.2530145869560256,-0.0730564068542017,0.2247379049941421,0.1134457012061411,1.9810173731111504,0.6631705863569077,0.1920648788937661
