,excess_return
2021-01-04,0.0
2021-01-05,-0.013530004671403943
2021-01-06,-0.0040625960917045545
2021-01-07,-0.009493336882149475
2021-01-08,-0.0020109045019102373
2021-01-11,0.009629770200634722
2021-01-12,-0.020845538319424387
2021-01-13,-0.00178373040748905
2021-01-14,0.010128701175487162
2021-01-15,0.0028731845954177975
2021-01-18,-0.012107954458302105
2021-01-19,0.010979928981937857
2021-01-20,-0.008624646511646914
2021-01-21,-0.013002930240704105
2021-01-22,0.00329153111985915
2021-01-25,-0.0032637948763862535
2021-01-26,0.014154979867341788
2021-01-27,-0.003301451708541917
2021-01-28,0.023987337379597035
2021-01-29,0.005744496491463611
2021-02-01,-0.009937039463587382
2021-02-02,-0.01030706378803692
2021-02-03,-0.005223507499211945
2021-02-04,-0.005376583935956112
2021-02-05,0.00472567189986038
2021-02-08,-0.010544383961667821
2021-02-09,-0.00932053369552385
2021-02-10,-0.001557806372611218
2021-02-18,0.011740132808779164
2021-02-19,0.011678694433322
2021-02-22,0.021782800367816022
2021-02-23,-0.0024146364144442237
2021-02-24,0.006234505126540876
2021-02-25,0.004037172583057558
2021-02-26,0.007939718822227004
2021-03-01,-0.008424470039042977
2021-03-02,0.0036733102407172126
2021-03-03,-0.0014472183297904867
2021-03-04,0.023755251403984334
2021-03-05,0.006428619724170682
2021-03-08,0.028646815138644928
2021-03-09,0.01361931770365597
2021-03-10,-0.008353480343157981
2021-03-11,-0.007084385919370752
2021-03-12,0.01198146237649654
2021-03-15,0.020855285155214575
2021-03-16,0.0014449711782427675
2021-03-17,-0.01635279126736684
2021-03-18,-0.008362399027034324
2021-03-19,0.009534745544235723
2021-03-22,0.0064600351303805165
2021-03-23,0.003064732759724074
2021-03-24,0.01124506124386191
2021-03-25,-0.009167963204428715
2021-03-26,-0.011045888200699051
2021-03-29,0.005332961743090475
2021-03-30,-0.006684660996938457
2021-03-31,0.012012937418427284
2021-04-01,-0.016761349159245938
2021-04-02,-0.005745925764143997
2021-04-06,0.000544729587142415
2021-04-07,0.008042771789572595
2021-04-08,-0.006285972400822743
2021-04-09,0.007025115643040366
2021-04-12,0.01300933801168802
2021-04-13,-0.006863330637108274
2021-04-14,-0.0055415875872288165
2021-04-15,-0.0030755903424344957
2021-04-16,0.00667782714158941
2021-04-19,-0.0101613346440948
2021-04-20,-0.007347459446823197
2021-04-21,-0.005033281494195595
2021-04-22,-0.002981093588277417
2021-04-23,-0.005319867623307504
2021-04-26,-0.0007124966969251174
2021-04-27,-0.0026051597748701204
2021-04-28,-0.00863956811354752
2021-04-29,0.0049849935461773525
2021-04-30,-0.0017261876797991117
2021-05-06,0.0032920474944170097
2021-05-07,0.01641868315418784
2021-05-10,0.0014732960678456677
2021-05-11,-0.001261465137612624
2021-05-12,-0.0027873381840527135
2021-05-13,0.0007502746022077528
2021-05-14,-0.01103070742454959
2021-05-17,-0.006994639250647191
2021-05-18,0.0028010669961836374
2021-05-19,-0.004980523239165266
2021-05-20,-0.002967793928660758
2021-05-21,0.007199525730285403
2021-05-24,-0.009173107476543634
2021-05-25,-0.008174332912442826
2021-05-26,0.0010353339463932965
2021-05-27,-0.0020706636323944054
2021-05-28,-0.0028178880496308512
2021-05-31,-0.00705710453396488
2021-06-01,-0.003300650483677355
2021-06-02,0.007088218470564867
2021-06-03,0.006523883187108764
2021-06-04,0.00276028566421315
2021-06-07,-0.0003687124153202107
2021-06-08,-0.004315644304104183
2021-06-09,-0.0004435799265645438
2021-06-10,-0.0030967887845939
2021-06-11,0.0029945082893590453
2021-06-15,0.00039419824921074764
2021-06-16,0.011844701060303671
2021-06-17,-0.007144054926744782
2021-06-18,-0.0071815908041872245
2021-06-21,-0.00010909776279154862
2021-06-22,0.0025047661038802276
2021-06-23,-0.009118936176694932
2021-06-24,-0.0013476176930471084
2021-06-25,-0.0066846768887248945
2021-06-28,-0.002132018808511289
2021-06-29,-0.0007425776677990499
2021-06-30,-0.0054392104158175825
2021-07-01,0.005841002622343411
2021-07-02,0.00682013186088529
2021-07-05,0.0008831801638661003
2021-07-06,-0.01078714047600601
2021-07-07,-0.0016458518292633128
2021-07-08,-0.0008283855500425871
2021-07-09,-0.0019855219016799196
2021-07-12,-9.249434549024084e-05
2021-07-13,-0.0008189064963216555
