date,buy_turnover,sell_turnover,one_way_turnover,cost
2021-01-11,0.0,0.0,0.0,0.0
2021-01-18,0.0,0.0,0.0,0.0
2021-01-25,0.0,0.0,0.0,0.0
2021-02-01,1.0,0.0,0.5,0.0008
2021-02-08,0.42500000000000004,0.42500000000000004,0.42500000000000004,0.001105
2021-02-18,0.2,0.2,0.2,0.00052
2021-02-22,0.2,0.2,0.2,0.0005200000000000001
2021-03-01,0.25,0.25,0.25,0.00065
2021-03-08,0.15000000000000002,0.15000000000000002,0.15,0.00039000000000000005
2021-03-15,0.25,0.25,0.25,0.0006500000000000001
2021-03-22,0.275,0.275,0.275,0.000715
2021-03-29,0.32500000000000007,0.32500000000000007,0.325,0.000845
2021-04-06,0.25,0.25,0.25,0.0006500000000000001
2021-04-12,0.25,0.25,0.25,0.0006500000000000001
2021-04-19,0.175,0.17500000000000002,0.175,0.000455
2021-04-26,0.25,0.25,0.25,0.00065
2021-05-06,0.225,0.22499999999999998,0.22500000000000003,0.000585
2021-05-10,0.125,0.125,0.125,0.00032500000000000004
2021-05-17,0.30000000000000004,0.30000000000000004,0.3,0.00078
2021-05-24,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.00039000000000000005
2021-05-31,0.275,0.275,0.275,0.0007150000000000001
2021-06-07,0.2,0.2,0.2,0.0005200000000000001
2021-06-15,0.125,0.125,0.125,0.00032500000000000004
2021-06-21,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.00039
2021-06-28,0.17500000000000002,0.175,0.175,0.00045499999999999995
2021-07-05,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.00039
2021-07-12,0.175,0.17500000000000002,0.17500000000000002,0.000455
2021-07-19,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.00039000000000000005
2021-07-26,0.125,0.125,0.125,0.0003250000000000001
2021-08-02,0.1,0.1,0.1,0.00026
2021-08-09,0.125,0.125,0.125,0.00032500000000000004
2021-08-16,0.15,0.15,0.15,0.00039000000000000005
2021-08-23,0.1,0.1,0.1,0.00026000000000000003
2021-08-30,0.175,0.17500000000000002,0.17500000000000002,0.000455
2021-09-06,0.125,0.125,0.125,0.00032500000000000004
2021-09-13,0.125,0.125,0.125,0.00032500000000000004
2021-09-22,0.17500000000000002,0.175,0.17500000000000002,0.000455
2021-09-27,0.07500000000000001,0.07500000000000001,0.07500000000000001,0.00019500000000000002
